question,sortie,unit,drone,segment,from,to,horizontal_distance_m,terrain_max_m,cruise_altitude_m,start_working_m,end_working_m,climb_m,descent_m,final_return
Q1,Q1-S001-01,,C,1,O01,S001,3054.0236075149764,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,False
Q1,Q1-S001-01,,C,2,S001,O01,3054.0236075149764,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219,True
Q1,Q1-S001-02,,C,1,O01,S001,3054.0236075149764,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,False
Q1,Q1-S001-02,,C,2,S001,O01,3054.0236075149764,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219,True
Q1,Q1-S002-01,,B,1,O01,S002,7411.533814153884,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,False
Q1,Q1-S002-01,,B,2,S002,O01,7411.533814153884,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064,True
Q1,Q1-S002-02,,C,1,O01,S002,7411.533814153884,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,False
Q1,Q1-S002-02,,C,2,S002,O01,7411.533814153884,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064,True
Q1,Q1-S003-01,,B,1,O01,S003,7263.826967765937,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,False
Q1,Q1-S003-01,,B,2,S003,O01,7263.826967765937,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376,True
Q1,Q1-S003-02,,C,1,O01,S003,7263.826967765937,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,False
Q1,Q1-S003-02,,C,2,S003,O01,7263.826967765937,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376,True
Q1,Q1-S004-01,,C,1,O01,S004,7714.681646286507,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656,False
Q1,Q1-S004-01,,C,2,S004,O01,7714.681646286507,348.2391662597656,398.2391662597656,228.3,127.7,169.9391662597656,270.53916625976564,True
Q1,Q1-S005-01,,C,1,O01,S005,5280.5933691157215,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875,False
Q1,Q1-S005-01,,C,2,S005,O01,5280.5933691157215,276.410888671875,326.410888671875,195.0,127.7,131.410888671875,198.710888671875,True
Q1,Q1-S006-01,,C,1,O01,S006,3186.19885235084,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,False
Q1,Q1-S006-01,,C,2,S006,O01,3186.19885235084,316.09783935546875,366.09783935546875,314.8,127.7,51.29783935546874,238.39783935546876,True
Q1,Q1-S007-01,,C,1,O01,S007,4534.717374921003,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,False
Q1,Q1-S007-01,,C,2,S007,O01,4534.717374921003,461.9731750488281,511.9731750488281,348.5,127.7,163.47317504882812,384.27317504882814,True
Q1,Q1-S008-01,,C,1,O01,S008,8079.110448788476,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,False
Q1,Q1-S008-01,,C,2,S008,O01,8079.110448788476,322.9093322753906,372.9093322753906,270.9,127.7,102.00933227539065,245.20933227539064,True
Q1,Q1-S009-01,,B,1,O01,S009,5705.303446619009,243.22891235351562,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625,False
Q1,Q1-S009-01,,B,2,S009,O01,5705.303446619009,243.22891235351562,293.2289123535156,230.0,127.7,63.228912353515625,165.52891235351564,True
Q1,Q1-S010-01,,B,1,O01,S010,4784.6745062617865,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,False
Q1,Q1-S010-01,,B,2,S010,O01,4784.6745062617865,385.63653564453125,435.63653564453125,351.6,127.7,84.03653564453123,307.93653564453126,True
Q1,Q1-S011-01,,B,1,O01,S011,2808.106412371872,245.36175537109375,295.36175537109375,127.7,212.1,167.66175537109376,83.26175537109376,False
Q1,Q1-S011-01,,B,2,S011,O01,2808.106412371872,245.36175537109375,295.36175537109375,212.1,127.7,83.26175537109376,167.66175537109376,True
Q1,Q1-S012-01,,B,1,O01,S012,7391.140162515387,363.3009948730469,413.3009948730469,127.7,279.8,285.6009948730469,133.50099487304686,False
Q1,Q1-S012-01,,B,2,S012,O01,7391.140162515387,363.3009948730469,413.3009948730469,279.8,127.7,133.50099487304686,285.6009948730469,True
Q1,Q1-S013-01,,B,1,O01,S013,4849.536854548781,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876,False
Q1,Q1-S013-01,,B,2,S013,O01,4849.536854548781,349.18182373046875,399.18182373046875,351.7,127.7,47.48182373046876,271.48182373046876,True
Q1,Q1-S014-01,,B,1,O01,S014,5419.5362999417475,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125,False
Q1,Q1-S014-01,,B,2,S014,O01,5419.5362999417475,541.9473876953125,591.9473876953125,351.0,127.7,240.9473876953125,464.2473876953125,True
Q1,Q1-S015-01,,B,1,O01,S015,6009.764892220415,521.7992553710938,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,False
Q1,Q1-S015-01,,B,2,S015,O01,6009.764892220415,521.7992553710938,571.7992553710938,474.5,127.7,97.29925537109375,444.09925537109376,True
Q2,Q2-001,U01,A,1,O01,S006,3186.19885235084,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,False
Q2,Q2-001,U01,A,2,S006,O01,3186.19885235084,316.09783935546875,366.09783935546875,314.8,127.7,51.29783935546874,238.39783935546876,True
Q2,Q2-002,U07,C,1,O01,S002,7411.533814153884,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,False
Q2,Q2-002,U07,C,2,S002,O01,7411.533814153884,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064,True
Q2,Q2-003,U02,A,1,O01,S013,4849.536854548781,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876,False
Q2,Q2-003,U02,A,2,S013,O01,4849.536854548781,349.18182373046875,399.18182373046875,351.7,127.7,47.48182373046876,271.48182373046876,True
Q2,Q2-004,U03,A,1,O01,S001,3054.0236075149764,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,False
Q2,Q2-004,U03,A,2,S001,O01,3054.0236075149764,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219,True
Q2,Q2-005,U05,B,1,O01,S005,5280.5933691157215,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875,False
Q2,Q2-005,U05,B,2,S005,S008,3040.519784035267,316.78717041015625,366.78717041015625,195.0,270.9,171.78717041015625,95.88717041015627,False
Q2,Q2-005,U05,B,3,S008,O01,8079.110448788476,322.9093322753906,372.9093322753906,270.9,127.7,102.00933227539065,245.20933227539064,True
Q2,Q2-006,U06,B,1,O01,S006,3186.19885235084,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,False
Q2,Q2-006,U06,B,2,S006,O01,3186.19885235084,316.09783935546875,366.09783935546875,314.8,127.7,51.29783935546874,238.39783935546876,True
Q2,Q2-007,U08,C,1,O01,S001,3054.0236075149764,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,False
Q2,Q2-007,U08,C,2,S001,O01,3054.0236075149764,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219,True
Q2,Q2-008,U04,A,1,O01,S014,5419.5362999417475,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125,False
Q2,Q2-008,U04,A,2,S014,O01,5419.5362999417475,541.9473876953125,591.9473876953125,351.0,127.7,240.9473876953125,464.2473876953125,True
Q2,Q2-009,U06,B,1,O01,S006,3186.19885235084,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,False
Q2,Q2-009,U06,B,2,S006,O01,3186.19885235084,316.09783935546875,366.09783935546875,314.8,127.7,51.29783935546874,238.39783935546876,True
Q2,Q2-010,U03,A,1,O01,S003,7263.826967765937,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,False
Q2,Q2-010,U03,A,2,S003,O01,7263.826967765937,511.80413818359375,561.8041381835938,338.5,127.7,223.30413818359375,434.10413818359376,True
Q2,Q2-011,U01,A,1,O01,S010,4784.6745062617865,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,False
Q2,Q2-011,U01,A,2,S010,O01,4784.6745062617865,385.63653564453125,435.63653564453125,351.6,127.7,84.03653564453123,307.93653564453126,True
Q2,Q2-012,U08,C,1,O01,S012,7391.140162515387,363.3009948730469,413.3009948730469,127.7,279.8,285.6009948730469,133.50099487304686,False
Q2,Q2-012,U08,C,2,S012,S009,2973.7180351331917,310.91961669921875,360.91961669921875,279.8,230.0,81.11961669921874,130.91961669921875,False
Q2,Q2-012,U08,C,3,S009,O01,5705.303446619009,243.22891235351562,293.2289123535156,230.0,127.7,63.228912353515625,165.52891235351564,True
Q2,Q2-013,U07,C,1,O01,S001,3054.0236075149764,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,False
Q2,Q2-013,U07,C,2,S001,O01,3054.0236075149764,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219,True
Q2,Q2-014,U02,A,1,O01,S007,4534.717374921003,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,False
Q2,Q2-014,U02,A,2,S007,O01,4534.717374921003,461.9731750488281,511.9731750488281,348.5,127.7,163.47317504882812,384.27317504882814,True
Q2,Q2-015,U04,A,1,O01,S010,4784.6745062617865,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,False
Q2,Q2-015,U04,A,2,S010,O01,4784.6745062617865,385.63653564453125,435.63653564453125,351.6,127.7,84.03653564453123,307.93653564453126,True
Q2,Q2-016,U05,B,1,O01,S002,7411.533814153884,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,False
Q2,Q2-016,U05,B,2,S002,O01,7411.533814153884,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064,True
Q2,Q2-017,U06,B,1,O01,S007,4534.717374921003,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,False
Q2,Q2-017,U06,B,2,S007,O01,4534.717374921003,461.9731750488281,511.9731750488281,348.5,127.7,163.47317504882812,384.27317504882814,True
Q2,Q2-018,U01,A,1,O01,S015,6009.764892220415,521.7992553710938,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,False
Q2,Q2-018,U01,A,2,S015,O01,6009.764892220415,521.7992553710938,571.7992553710938,474.5,127.7,97.29925537109375,444.09925537109376,True
Q2,Q2-019,U03,A,1,O01,S008,8079.110448788476,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,False
Q2,Q2-019,U03,A,2,S008,O01,8079.110448788476,322.9093322753906,372.9093322753906,270.9,127.7,102.00933227539065,245.20933227539064,True
