node,longitude,latitude,east_km,north_km,ground_m,working_m
O01,109.2308517,23.0085095,0.0,0.0,127.7,127.7
S001,109.2432319,23.0335927,1.269169921901062,2.777817111438484,154,184.0
S002,109.2585519,23.0703271,2.839716698490673,6.845936207025278,189.5,219.5
S003,109.1688578,23.0402714,-6.355373355953578,3.5174439191093088,308.5,338.5
S004,109.2381714,23.0778414,0.7503871566968315,7.6781008080523625,198.3,228.3
S005,109.2283003,23.0561338,-0.26155959828932435,5.274111575089368,165,195.0
S006,109.1997836,23.007714,-3.1849806990700626,-0.08809695382351547,284.8,314.8
S007,109.1928191,23.0294186,-3.8989541341595637,2.315560046755532,318.5,348.5
S008,109.2127472,23.0795113,-1.8560028796848844,7.8630324273987675,240.9,270.9
S009,109.2541424,23.0552989,2.3876719196811726,5.181651302622434,200,230.0
S010,109.2760168,23.0194009,4.6301502754126265,1.2061585956945475,321.6,351.6
S011,109.2203356,23.0319231,-1.0780696447321874,2.5929187153304754,182.1,212.1
S012,109.2831357,23.054464,5.3599521975977344,5.0891910301555,249.8,279.8
S013,109.2713839,23.0310882,4.155203398046757,2.500458442863541,321.7,351.7
S014,109.2835966,23.0052097,5.407201871835279,-0.3654334735725998,321,351.0
S015,109.1923786,23.0494548,-3.9441124797915337,4.534451544180149,444.5,474.5
