question,sortie,unit,drone,visits,visit_count
Q1,Q1-S001-01,,C,O01 → S001 → O01,1
Q1,Q1-S001-02,,C,O01 → S001 → O01,1
Q1,Q1-S002-01,,B,O01 → S002 → O01,1
Q1,Q1-S002-02,,C,O01 → S002 → O01,1
Q1,Q1-S003-01,,B,O01 → S003 → O01,1
Q1,Q1-S003-02,,C,O01 → S003 → O01,1
Q1,Q1-S004-01,,C,O01 → S004 → O01,1
Q1,Q1-S005-01,,C,O01 → S005 → O01,1
Q1,Q1-S006-01,,C,O01 → S006 → O01,1
Q1,Q1-S007-01,,C,O01 → S007 → O01,1
Q1,Q1-S008-01,,C,O01 → S008 → O01,1
Q1,Q1-S009-01,,B,O01 → S009 → O01,1
Q1,Q1-S010-01,,B,O01 → S010 → O01,1
Q1,Q1-S011-01,,B,O01 → S011 → O01,1
Q1,Q1-S012-01,,B,O01 → S012 → O01,1
Q1,Q1-S013-01,,B,O01 → S013 → O01,1
Q1,Q1-S014-01,,B,O01 → S014 → O01,1
Q1,Q1-S015-01,,B,O01 → S015 → O01,1
Q2,Q2-001,U01,A,O01 → S006 → O01,1
Q2,Q2-002,U07,C,O01 → S002 → O01,1
Q2,Q2-003,U02,A,O01 → S013 → O01,1
Q2,Q2-004,U03,A,O01 → S001 → O01,1
Q2,Q2-005,U05,B,O01 → S005 → S008 → O01,2
Q2,Q2-006,U06,B,O01 → S006 → O01,1
Q2,Q2-007,U08,C,O01 → S001 → O01,1
Q2,Q2-008,U04,A,O01 → S014 → O01,1
Q2,Q2-009,U06,B,O01 → S006 → O01,1
Q2,Q2-010,U03,A,O01 → S003 → O01,1
Q2,Q2-011,U01,A,O01 → S010 → O01,1
Q2,Q2-012,U08,C,O01 → S012 → S009 → O01,2
Q2,Q2-013,U07,C,O01 → S001 → O01,1
Q2,Q2-014,U02,A,O01 → S007 → O01,1
Q2,Q2-015,U04,A,O01 → S010 → O01,1
Q2,Q2-016,U05,B,O01 → S002 → O01,1
Q2,Q2-017,U06,B,O01 → S007 → O01,1
Q2,Q2-018,U01,A,O01 → S015 → O01,1
Q2,Q2-019,U03,A,O01 → S008 → O01,1
Q2,Q2-020,U07,C,O01 → S004 → O01,1
Q2,Q2-021,U02,A,O01 → S013 → O01,1
Q2,Q2-022,U05,B,O01 → S010 → O01,1
Q2,Q2-023,U06,B,O01 → S002 → O01,1
Q2,Q2-024,U08,C,O01 → S004 → O01,1
Q2,Q2-025,U01,A,O01 → S008 → O01,1
Q2,Q2-026,U04,A,O01 → S003 → O01,1
Q2,Q2-027,U02,A,O01 → S003 → O01,1
Q2,Q2-028,U05,B,O01 → S003 → O01,1
Q2,Q2-029,U07,C,O01 → S011 → S015 → S005 → O01,3
Q2,Q2-030,U06,B,O01 → S007 → O01,1
Q2,Q2-031,U03,A,O01 → S014 → O01,1
Q2,Q2-032,U08,C,O01 → S008 → O01,1
Q2,Q2-033,U01,A,O01 → S005 → O01,1
Q2,Q2-034,U04,A,O01 → S011 → O01,1
Q2,Q2-035,U06,B,O01 → S006 → O01,1
Q2,Q2-036,U05,B,O01 → S011 → O01,1
