question,sortie,unit,drone,segment,vertex,phase,east_km,north_km,altitude_m
Q1,Q1-S001-01,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S001-01,,C,1,1,爬升结束,0.0,0.0,273.0566101074219
Q1,Q1-S001-01,,C,1,2,巡航结束,1.269169921901062,2.777817111438484,273.0566101074219
Q1,Q1-S001-01,,C,1,3,终点作业,1.269169921901062,2.777817111438484,184.0
Q1,Q1-S001-01,,C,2,0,起点作业,1.269169921901062,2.777817111438484,184.0
Q1,Q1-S001-01,,C,2,1,爬升结束,1.269169921901062,2.777817111438484,273.0566101074219
Q1,Q1-S001-01,,C,2,2,巡航结束,0.0,0.0,273.0566101074219
Q1,Q1-S001-01,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S001-02,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S001-02,,C,1,1,爬升结束,0.0,0.0,273.0566101074219
Q1,Q1-S001-02,,C,1,2,巡航结束,1.269169921901062,2.777817111438484,273.0566101074219
Q1,Q1-S001-02,,C,1,3,终点作业,1.269169921901062,2.777817111438484,184.0
Q1,Q1-S001-02,,C,2,0,起点作业,1.269169921901062,2.777817111438484,184.0
Q1,Q1-S001-02,,C,2,1,爬升结束,1.269169921901062,2.777817111438484,273.0566101074219
Q1,Q1-S001-02,,C,2,2,巡航结束,0.0,0.0,273.0566101074219
Q1,Q1-S001-02,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S002-01,,B,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S002-01,,B,1,1,爬升结束,0.0,0.0,308.9542541503906
Q1,Q1-S002-01,,B,1,2,巡航结束,2.839716698490673,6.845936207025278,308.9542541503906
Q1,Q1-S002-01,,B,1,3,终点作业,2.839716698490673,6.845936207025278,219.5
Q1,Q1-S002-01,,B,2,0,起点作业,2.839716698490673,6.845936207025278,219.5
Q1,Q1-S002-01,,B,2,1,爬升结束,2.839716698490673,6.845936207025278,308.9542541503906
Q1,Q1-S002-01,,B,2,2,巡航结束,0.0,0.0,308.9542541503906
Q1,Q1-S002-01,,B,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S002-02,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S002-02,,C,1,1,爬升结束,0.0,0.0,308.9542541503906
Q1,Q1-S002-02,,C,1,2,巡航结束,2.839716698490673,6.845936207025278,308.9542541503906
Q1,Q1-S002-02,,C,1,3,终点作业,2.839716698490673,6.845936207025278,219.5
Q1,Q1-S002-02,,C,2,0,起点作业,2.839716698490673,6.845936207025278,219.5
Q1,Q1-S002-02,,C,2,1,爬升结束,2.839716698490673,6.845936207025278,308.9542541503906
Q1,Q1-S002-02,,C,2,2,巡航结束,0.0,0.0,308.9542541503906
Q1,Q1-S002-02,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S003-01,,B,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S003-01,,B,1,1,爬升结束,0.0,0.0,561.8041381835938
Q1,Q1-S003-01,,B,1,2,巡航结束,-6.355373355953578,3.5174439191093088,561.8041381835938
Q1,Q1-S003-01,,B,1,3,终点作业,-6.355373355953578,3.5174439191093088,338.5
Q1,Q1-S003-01,,B,2,0,起点作业,-6.355373355953578,3.5174439191093088,338.5
Q1,Q1-S003-01,,B,2,1,爬升结束,-6.355373355953578,3.5174439191093088,561.8041381835938
Q1,Q1-S003-01,,B,2,2,巡航结束,0.0,0.0,561.8041381835938
Q1,Q1-S003-01,,B,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S003-02,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S003-02,,C,1,1,爬升结束,0.0,0.0,561.8041381835938
Q1,Q1-S003-02,,C,1,2,巡航结束,-6.355373355953578,3.5174439191093088,561.8041381835938
Q1,Q1-S003-02,,C,1,3,终点作业,-6.355373355953578,3.5174439191093088,338.5
Q1,Q1-S003-02,,C,2,0,起点作业,-6.355373355953578,3.5174439191093088,338.5
Q1,Q1-S003-02,,C,2,1,爬升结束,-6.355373355953578,3.5174439191093088,561.8041381835938
Q1,Q1-S003-02,,C,2,2,巡航结束,0.0,0.0,561.8041381835938
Q1,Q1-S003-02,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S004-01,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S004-01,,C,1,1,爬升结束,0.0,0.0,398.2391662597656
Q1,Q1-S004-01,,C,1,2,巡航结束,0.7503871566968315,7.6781008080523625,398.2391662597656
Q1,Q1-S004-01,,C,1,3,终点作业,0.7503871566968315,7.6781008080523625,228.3
Q1,Q1-S004-01,,C,2,0,起点作业,0.7503871566968315,7.6781008080523625,228.3
Q1,Q1-S004-01,,C,2,1,爬升结束,0.7503871566968315,7.6781008080523625,398.2391662597656
Q1,Q1-S004-01,,C,2,2,巡航结束,0.0,0.0,398.2391662597656
Q1,Q1-S004-01,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S005-01,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S005-01,,C,1,1,爬升结束,0.0,0.0,326.410888671875
Q1,Q1-S005-01,,C,1,2,巡航结束,-0.26155959828932435,5.274111575089368,326.410888671875
Q1,Q1-S005-01,,C,1,3,终点作业,-0.26155959828932435,5.274111575089368,195.0
Q1,Q1-S005-01,,C,2,0,起点作业,-0.26155959828932435,5.274111575089368,195.0
Q1,Q1-S005-01,,C,2,1,爬升结束,-0.26155959828932435,5.274111575089368,326.410888671875
Q1,Q1-S005-01,,C,2,2,巡航结束,0.0,0.0,326.410888671875
Q1,Q1-S005-01,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S006-01,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S006-01,,C,1,1,爬升结束,0.0,0.0,366.09783935546875
Q1,Q1-S006-01,,C,1,2,巡航结束,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q1,Q1-S006-01,,C,1,3,终点作业,-3.1849806990700626,-0.08809695382351547,314.8
Q1,Q1-S006-01,,C,2,0,起点作业,-3.1849806990700626,-0.08809695382351547,314.8
Q1,Q1-S006-01,,C,2,1,爬升结束,-3.1849806990700626,-0.08809695382351547,366.09783935546875
Q1,Q1-S006-01,,C,2,2,巡航结束,0.0,0.0,366.09783935546875
Q1,Q1-S006-01,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S007-01,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S007-01,,C,1,1,爬升结束,0.0,0.0,511.9731750488281
Q1,Q1-S007-01,,C,1,2,巡航结束,-3.8989541341595637,2.315560046755532,511.9731750488281
Q1,Q1-S007-01,,C,1,3,终点作业,-3.8989541341595637,2.315560046755532,348.5
Q1,Q1-S007-01,,C,2,0,起点作业,-3.8989541341595637,2.315560046755532,348.5
Q1,Q1-S007-01,,C,2,1,爬升结束,-3.8989541341595637,2.315560046755532,511.9731750488281
Q1,Q1-S007-01,,C,2,2,巡航结束,0.0,0.0,511.9731750488281
Q1,Q1-S007-01,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S008-01,,C,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S008-01,,C,1,1,爬升结束,0.0,0.0,372.9093322753906
Q1,Q1-S008-01,,C,1,2,巡航结束,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q1,Q1-S008-01,,C,1,3,终点作业,-1.8560028796848844,7.8630324273987675,270.9
Q1,Q1-S008-01,,C,2,0,起点作业,-1.8560028796848844,7.8630324273987675,270.9
Q1,Q1-S008-01,,C,2,1,爬升结束,-1.8560028796848844,7.8630324273987675,372.9093322753906
Q1,Q1-S008-01,,C,2,2,巡航结束,0.0,0.0,372.9093322753906
Q1,Q1-S008-01,,C,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S009-01,,B,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S009-01,,B,1,1,爬升结束,0.0,0.0,293.2289123535156
Q1,Q1-S009-01,,B,1,2,巡航结束,2.3876719196811726,5.181651302622434,293.2289123535156
Q1,Q1-S009-01,,B,1,3,终点作业,2.3876719196811726,5.181651302622434,230.0
Q1,Q1-S009-01,,B,2,0,起点作业,2.3876719196811726,5.181651302622434,230.0
Q1,Q1-S009-01,,B,2,1,爬升结束,2.3876719196811726,5.181651302622434,293.2289123535156
Q1,Q1-S009-01,,B,2,2,巡航结束,0.0,0.0,293.2289123535156
Q1,Q1-S009-01,,B,2,3,终点作业,0.0,0.0,127.7
Q1,Q1-S010-01,,B,1,0,起点作业,0.0,0.0,127.7
Q1,Q1-S010-01,,B,1,1,爬升结束,0.0,0.0,435.63653564453125
Q1,Q1-S010-01,,B,1,2,巡航结束,4.6301502754126265,1.2061585956945475,435.63653564453125
Q1,Q1-S010-01,,B,1,3,终点作业,4.6301502754126265,1.2061585956945475,351.6
Q1,Q1-S010-01,,B,2,0,起点作业,4.6301502754126265,1.2061585956945475,351.6
Q1,Q1-S010-01,,B,2,1,爬升结束,4.6301502754126265,1.2061585956945475,435.63653564453125
Q1,Q1-S010-01,,B,2,2,巡航结束,0.0,0.0,435.63653564453125
