question,sortie,drone,segment,from,to,payload_kg,distance_m,climb_m,final_return,horizontal_kwh,climb_kwh,total_kwh
Q1,Q1-S001-01,C,1,O01,S001,78.0,3054.0236075149764,145.3566101074219,False,1.9511870756376157,0.0813370914874311,2.0325241671250467
Q1,Q1-S001-01,C,2,S001,O01,0.0,3054.0236075149764,89.05661010742188,True,0.9396995715430697,0.023552066236553013,0.9632516377796227
Q1,Q1-S001-02,C,1,O01,S001,76.0,3054.0236075149764,145.3566101074219,False,1.874099259375722,0.08023719843148207,1.954336457807204
Q1,Q1-S001-02,C,2,S001,O01,0.0,3054.0236075149764,89.05661010742188,True,0.9396995715430697,0.023552066236553013,0.9632516377796227
Q1,Q1-S002-01,B,1,O01,S002,25.0,7411.533814153884,181.25425415039064,False,1.5709648966225414,0.06171864692583084,1.6326835435483722
Q1,Q1-S002-01,B,2,S002,O01,0.0,7411.533814153884,89.45425415039062,True,1.0587905448791264,0.02199885281448894,1.0807893976936154
Q1,Q1-S002-02,C,1,O01,S002,56.0,7411.533814153884,181.25425415039064,False,3.330889503834752,0.08633752942180115,3.417227033256553
Q1,Q1-S002-02,C,2,S002,O01,0.0,7411.533814153884,89.45425415039062,True,2.28047194281658,0.023657227872811954,2.3041291706893916
Q1,Q1-S003-01,B,1,O01,S003,25.0,7263.826967765937,434.10413818359376,False,1.5396566308188897,0.14781622731660207,1.6874728581354919
Q1,Q1-S003-01,B,2,S003,O01,0.0,7263.826967765937,223.30413818359375,True,1.0376895668237054,0.05491560927341013,1.0926051760971156
Q1,Q1-S003-02,C,1,O01,S003,56.0,7263.826967765937,434.10413818359376,False,3.264507133246551,0.2067784779906689,3.47128561123722
Q1,Q1-S003-02,C,2,S003,O01,0.0,7263.826967765937,223.30413818359375,True,2.235023682389519,0.05905540135709797,2.294079083746617
Q1,Q1-S004-01,C,1,O01,S004,59.0,7714.681646286507,270.53916625976564,False,3.6022318728088987,0.13193764958251986,3.7341695223914186
Q1,Q1-S004-01,C,2,S004,O01,0.0,7714.681646286507,169.9391662597656,True,2.373748198857387,0.04494240792577662,2.4186906067831635
Q1,Q1-S005-01,C,1,O01,S005,59.0,5280.5933691157215,198.710888671875,False,2.4656781204611673,0.09690814073348461,2.5625862611946517
Q1,Q1-S005-01,C,2,S005,O01,0.0,5280.5933691157215,131.410888671875,True,1.6247979597279143,0.03475315252254769,1.659551112250462
Q1,Q1-S006-01,C,1,O01,S006,59.0,3186.19885235084,238.39783935546876,False,1.4877382613150387,0.1162628355256725,1.6040010968407112
Q1,Q1-S006-01,C,2,S006,O01,0.0,3186.19885235084,51.29783935546874,True,0.9803688776464122,0.013566315951558638,0.9939351935979709
Q1,Q1-S007-01,C,1,O01,S007,45.0,4534.717374921003,384.27317504882814,False,1.805424024851908,0.16704972914253033,1.9724737539944384
Q1,Q1-S007-01,C,2,S007,O01,0.0,4534.717374921003,163.47317504882812,True,1.3952976538218471,0.04323240062703398,1.438530054448881
Q1,Q1-S008-01,C,1,O01,S008,45.0,8079.110448788476,245.20933227539064,False,3.2165665239344476,0.10659644023973265,3.3231629641741804
Q1,Q1-S008-01,C,2,S008,O01,0.0,8079.110448788476,102.00933227539065,True,2.4858801380887616,0.026977565703416796,2.512857703792178
Q1,Q1-S009-01,B,1,O01,S009,25.0,5705.303446619009,165.52891235351564,False,1.2093085809177107,0.0563640315392918,1.2656726124570024
Q1,Q1-S009-01,B,2,S009,O01,0.0,5705.303446619009,63.228912353515625,True,0.8150433495170013,0.015549439763331119,0.8305927892803324
Q1,Q1-S010-01,B,1,O01,S010,25.0,4784.6745062617865,307.93653564453126,False,1.014170059744936,0.10485506344716815,1.119025123192104
Q1,Q1-S010-01,B,2,S010,O01,0.0,4784.6745062617865,84.03653564453123,True,0.6835249294659695,0.020666511573340565,0.7041914410393101
Q1,Q1-S011-01,B,1,O01,S011,25.0,2808.106412371872,167.66175537109376,False,0.5952123690500213,0.05709028310103947,0.6523026521510608
Q1,Q1-S011-01,B,2,S011,O01,0.0,2808.106412371872,83.26175537109376,True,0.40115805891026746,0.020475975333775414,0.4216340342440429
Q1,Q1-S012-01,B,1,O01,S012,25.0,7391.140162515387,285.6009948730469,False,1.5666422136743985,0.09724961792957518,1.6638918316039737
Q1,Q1-S012-01,B,2,S012,O01,0.0,7391.140162515387,133.50099487304686,True,1.0558771660736266,0.03283095661233207,1.0887081226859587
Q1,Q1-S013-01,B,1,O01,S013,25.0,4849.536854548781,271.48182373046876,False,1.0279184247698354,0.09244191759327783,1.1203603423631132
Q1,Q1-S013-01,B,2,S013,O01,0.0,4849.536854548781,47.48182373046876,True,0.6927909792212544,0.011676869496379666,0.7044678487176341
Q1,Q1-S014-01,B,1,O01,S014,25.0,5419.5362999417475,464.2473876953125,False,1.148736752292894,0.1580802654354943,1.3068170177283882
Q1,Q1-S014-01,B,2,S014,O01,0.0,5419.5362999417475,240.9473876953125,True,0.7742194714202496,0.059254488993150216,0.8334739604133998
Q1,Q1-S015-01,B,1,O01,S015,25.0,6009.764892220415,444.09925537109376,False,1.2738428939773572,0.15121965148211583,1.425062545459473
Q1,Q1-S015-01,B,2,S015,O01,0.0,6009.764892220415,97.29925537109375,True,0.8585378417457736,0.023928118547268853,0.8824659602930425
Q2,Q2-001,A,1,O01,S006,14.0,3186.19885235084,238.39783935546876,False,0.6259812374123362,0.07576476481114423,0.7017460022234805
Q2,Q2-001,A,2,S006,O01,0.0,3186.19885235084,51.29783935546874,True,0.5735157934231512,0.013585724128885616,0.5871015175520368
Q2,Q2-002,C,1,O01,S002,48.0,7411.533814153884,181.25425415039064,False,3.0416606173856238,0.08085142747283841,3.1225120448584622
Q2,Q2-002,C,2,S002,O01,0.0,7411.533814153884,89.45425415039062,True,2.28047194281658,0.023657227872811954,2.3041291706893916
Q2,Q2-003,A,1,O01,S013,17.0,4849.536854548781,271.48182373046876,False,0.9831786140919689,0.08936052034016857,1.0725391344321376
Q2,Q2-003,A,2,S013,O01,0.0,4849.536854548781,47.48182373046876,True,0.8729166338187805,0.012575090226870408,0.8854917240456509
Q2,Q2-004,A,1,O01,S001,8.0,3054.0236075149764,145.3566101074219,False,0.5703739936720804,0.042895829182012346,0.6132698228540927
Q2,Q2-004,A,2,S001,O01,0.0,3054.0236075149764,89.05661010742188,True,0.5497242493526958,0.023585760179666824,0.5733100095323627
Q2,Q2-005,B,1,O01,S005,28.0,5280.5933691157215,198.710888671875,False,1.229490905943239,0.06991820859747146,1.2994091145407105
Q2,Q2-005,B,2,S005,S008,14.0,3040.519784035267,171.78717041015625,False,0.503095963378456,0.05134563106540043,0.5544415944438564
Q2,Q2-005,B,3,S008,O01,0.0,8079.110448788476,102.00933227539065,True,1.1541586355412108,0.02508643448815582,1.1792450700293666
Q2,Q2-006,B,1,O01,S006,14.0,3186.19885235084,238.39783935546876,False,0.5272005758868576,0.07125495738190944,0.5984555332687671
Q2,Q2-006,B,2,S006,O01,0.0,3186.19885235084,51.29783935546874,True,0.45517126462154855,0.012615315262536645,0.4677865798840852
Q2,Q2-007,C,1,O01,S001,73.0,3054.0236075149764,145.3566101074219,False,1.7708721448246276,0.07858735884755852,1.8494595036721861
Q2,Q2-007,C,2,S001,O01,0.0,3054.0236075149764,89.05661010742188,True,0.9396995715430697,0.023552066236553013,0.9632516377796227
Q2,Q2-008,A,1,O01,S014,17.0,5419.5362999417475,464.2473876953125,False,1.0987383637264092,0.15281092325431117,1.2515492869807203
Q2,Q2-008,A,2,S014,O01,0.0,5419.5362999417475,240.9473876953125,True,0.9755165339895145,0.06381252660800792,1.0393290605975225
Q2,Q2-009,B,1,O01,S006,25.0,3186.19885235084,238.39783935546876,False,0.6753536685137049,0.08117653372622595,0.7565302022399308
Q2,Q2-009,B,2,S006,O01,0.0,3186.19885235084,51.29783935546874,True,0.45517126462154855,0.012615315262536645,0.4677865798840852
Q2,Q2-010,A,1,O01,S003,22.0,7263.826967765937,434.10413818359376,False,1.5660474072759298,0.15110103236808212,1.717148439644012
Q2,Q2-010,A,2,S003,O01,0.0,7263.826967765937,223.30413818359375,True,1.3074888541978689,0.0591398869098263,1.3666287411076952
Q2,Q2-011,A,1,O01,S010,3.0,4784.6745062617865,307.93653564453126,False,0.8684616658294052,0.0850491070182586,0.9535107728476638
Q2,Q2-011,A,2,S010,O01,0.0,4784.6745062617865,84.03653564453123,True,0.8612414111271215,0.022256243232828297,0.8834976543599498
Q2,Q2-012,C,1,O01,S012,50.0,7391.140162515387,285.6009948730469,False,3.09860168781742,0.1295581021084007,3.2281597899258205
Q2,Q2-012,C,2,S012,S009,25.0,2973.7180351331917,81.11961669921874,False,1.0099957810235316,0.029125794481447545,1.0391215755049792
Q2,Q2-012,C,3,S009,O01,0.0,5705.303446619009,63.228912353515625,True,1.7554779835750798,0.016721628299336082,1.7721996118744159
Q2,Q2-013,C,1,O01,S001,73.0,3054.0236075149764,145.3566101074219,False,1.7708721448246276,0.07858735884755852,1.8494595036721861
Q2,Q2-013,C,2,S001,O01,0.0,3054.0236075149764,89.05661010742188,True,0.9396995715430697,0.023552066236553013,0.9632516377796227
Q2,Q2-014,A,1,O01,S007,9.0,4534.717374921003,384.27317504882814,False,0.8531031850812925,0.11485577547658743,0.9679589605578799
Q2,Q2-014,A,2,S007,O01,0.0,4534.717374921003,163.47317504882812,True,0.8162491274857806,0.04329424955496964,0.8595433770407502
Q2,Q2-015,A,1,O01,S010,14.0,4784.6745062617865,307.93653564453126,False,0.9400281045971618,0.0978647258840236,1.0378928304811854
Q2,Q2-015,A,2,S010,O01,0.0,4784.6745062617865,84.03653564453123,True,0.8612414111271215,0.022256243232828297,0.8834976543599498
Q2,Q2-016,B,1,O01,S002,25.0,7411.533814153884,181.25425415039064,False,1.5709648966225414,0.06171864692583084,1.6326835435483722
Q2,Q2-016,B,2,S002,O01,0.0,7411.533814153884,89.45425415039062,True,1.0587905448791264,0.02199885281448894,1.0807893976936154
Q2,Q2-017,B,1,O01,S007,28.0,4534.717374921003,384.27317504882814,False,1.0558271360367626,0.1352099635357295,1.1910370995724922
Q2,Q2-017,B,2,S007,O01,0.0,4534.717374921003,163.47317504882812,True,0.6478167678458576,0.0402018031581861,0.6880185710040437
Q2,Q2-018,A,1,O01,S015,3.0,6009.764892220415,444.09925537109376,False,1.0908266430057667,0.12265593953549396,1.2134825825412607
Q2,Q2-018,A,2,S015,O01,0.0,6009.764892220415,97.29925537109375,True,1.0817576805996747,0.02576874305090492,1.1075264236505795
Q2,Q2-019,A,1,O01,S008,11.0,8079.110448788476,245.20933227539064,False,1.5443899307555418,0.07514631557370186,1.6195362463292435
Q2,Q2-019,A,2,S008,O01,0.0,8079.110448788476,102.00933227539065,True,1.4542398807819257,0.02701616021801396,1.4812560409999396
Q2,Q2-020,C,1,O01,S004,22.0,7714.681646286507,270.53916625976564,False,2.5735933693342465,0.09406570982648237,2.667659079160729
Q2,Q2-020,C,2,S004,O01,0.0,7714.681646286507,169.9391662597656,True,2.373748198857387,0.04494240792577662,2.4186906067831635
Q2,Q2-021,A,1,O01,S013,8.0,4849.536854548781,271.48182373046876,False,0.9057067196149244,0.08011632858084078,0.9858230481957653
Q2,Q2-021,A,2,S013,O01,0.0,4849.536854548781,47.48182373046876,True,0.8729166338187805,0.012575090226870408,0.8854917240456509
Q2,Q2-022,B,1,O01,S010,8.0,4784.6745062617865,307.93653564453126,False,0.7263944714176284,0.0850491070182586,0.811443578435887
Q2,Q2-022,B,2,S010,O01,0.0,4784.6745062617865,84.03653564453123,True,0.6835249294659695,0.020666511573340565,0.7041914410393101
Q2,Q2-023,B,1,O01,S002,8.0,7411.533814153884,181.25425415039064,False,1.1251961194602582,0.050060680284285015,1.1752567997445433
Q2,Q2-023,B,2,S002,O01,0.0,7411.533814153884,89.45425415039062,True,1.0587905448791264,0.02199885281448894,1.0807893976936154
Q2,Q2-024,C,1,O01,S004,37.0,7714.681646286507,270.53916625976564,False,2.857749394806274,0.10941919891676785,2.967168593723042
Q2,Q2-024,C,2,S004,O01,0.0,7714.681646286507,169.9391662597656,True,2.373748198857387,0.04494240792577662,2.4186906067831635
Q2,Q2-025,A,1,O01,S008,14.0,8079.110448788476,245.20933227539064,False,1.5872743009094106,0.07792951244680194,1.6652038133562126
Q2,Q2-025,A,2,S008,O01,0.0,8079.110448788476,102.00933227539065,True,1.4542398807819257,0.02701616021801396,1.4812560409999396
Q2,Q2-026,A,1,O01,S003,22.0,7263.826967765937,434.10413818359376,False,1.5660474072759298,0.15110103236808212,1.717148439644012
Q2,Q2-026,A,2,S003,O01,0.0,7263.826967765937,223.30413818359375,True,1.3074888541978689,0.0591398869098263,1.3666287411076952
Q2,Q2-027,A,1,O01,S003,17.0,7263.826967765937,434.10413818359376,False,1.472643583370905,0.14288901973938198,1.615532603110287
Q2,Q2-027,A,2,S003,O01,0.0,7263.826967765937,223.30413818359375,True,1.3074888541978689,0.0591398869098263,1.3666287411076952
Q2,Q2-028,B,1,O01,S003,20.0,7263.826967765937,434.10413818359376,False,1.3534223426249905,0.13960421468790196,1.4930265573128925
