box,service,sortie,category,hard_deadline_s,completion_s,slack_s,slack_min,violation
S007-WAT-01,S007,Q2-017,仅首批,3600.0,3450.763,149.23700000000008,2.487283333333335,False
S002-MED-01,S002,Q2-016,医疗+首批,3600.0,3380.158,219.8420000000001,3.664033333333335,False
S003-MED-01,S003,Q2-027,医疗+首批,7200.0,6810.569,389.4309999999996,6.49051666666666,False
S010-WAT-01,S010,Q2-015,仅首批,3600.0,3170.795,429.2049999999999,7.153416666666666,False
S007-MED-01,S007,Q2-014,医疗+首批,3600.0,3145.072,454.9279999999999,7.582133333333331,False
S001-MED-02,S001,Q2-013,仅医疗,3600.0,3122.117,477.8829999999998,7.964716666666663,False
S012-MED-01,S012,Q2-012,医疗+首批,3600.0,3069.167,530.8330000000001,8.847216666666668,False
S012-WAT-01,S012,Q2-012,仅首批,3600.0,2997.167,602.8330000000001,10.047216666666667,False
S001-WAT-01,S001,Q2-013,仅首批,3600.0,2978.117,621.8829999999998,10.364716666666663,False
S003-WAT-01,S003,Q2-026,仅首批,7200.0,6182.971,1017.0290000000005,16.95048333333334,False
S010-MED-01,S010,Q2-011,医疗+首批,3600.0,2298.461,1301.5390000000002,21.69231666666667,False
S004-WAT-01,S004,Q2-024,仅首批,7200.0,5730.391,1469.6090000000004,24.49348333333334,False
S004-MED-01,S004,Q2-024,医疗+首批,7200.0,5658.391,1541.6090000000004,25.69348333333334,False
S006-MED-01,S006,Q2-009,医疗+首批,3600.0,2030.096,1569.904,26.165066666666668,False
S002-WAT-01,S002,Q2-002,仅首批,3600.0,1283.332,2316.6679999999997,38.61113333333333,False
S001-MED-01,S001,Q2-007,医疗+首批,3600.0,1279.53,2320.4700000000003,38.6745,False
S014-WAT-01,S014,Q2-008,仅首批,3600.0,1274.314,2325.6859999999997,38.76143333333333,False
S014-MED-01,S014,Q2-008,医疗+首批,3600.0,1244.314,2355.6859999999997,39.26143333333333,False
S008-MED-01,S008,Q2-019,医疗+首批,7200.0,4789.465,2410.535,40.17558333333333,False
S013-WAT-01,S013,Q2-003,仅首批,3600.0,1083.615,2516.385,41.939750000000004,False
S011-MED-01,S011,Q2-036,医疗+首批,10800.0,8279.214,2520.786,42.0131,False
S013-MED-01,S013,Q2-003,医疗+首批,3600.0,1053.615,2546.385,42.439750000000004,False
S005-MED-01,S005,Q2-029,医疗+首批,10800.0,8027.39,2772.6099999999997,46.21016666666666,False
S006-WAT-01,S006,Q2-006,仅首批,3600.0,822.825,2777.175,46.28625,False
S015-MED-01,S015,Q2-018,医疗+首批,7200.0,4046.138,3153.862,52.564366666666665,False
S015-WAT-01,S015,Q2-029,仅首批,10800.0,7219.531,3580.469,59.674483333333335,False
S011-WAT-01,S011,Q2-029,仅首批,10800.0,6528.979,4271.021,71.18368333333333,False
S008-WAT-01,S008,Q2-005,仅首批,7200.0,1489.16,5710.84,95.18066666666667,False
S009-WAT-01,S009,Q2-012,仅首批,10800.0,3617.323,7182.677,119.71128333333333,False
S009-MED-01,S009,Q2-012,医疗+首批,10800.0,3581.323,7218.677,120.31128333333332,False
S005-WAT-01,S005,Q2-005,仅首批,10800.0,1010.841,9789.159,163.15265,False
