reserve,service,feasible,minimum_sorties,expected_boxes,whole_scenario_feasible
0.05,S001,True,2,15,True
0.05,S002,True,2,8,True
0.05,S003,True,2,8,True
0.05,S004,True,1,6,True
0.05,S005,True,1,6,True
0.05,S006,True,1,6,True
0.05,S007,True,1,5,True
0.05,S008,True,1,5,True
0.05,S009,True,1,3,True
0.05,S010,True,1,3,True
0.05,S011,True,1,3,True
0.05,S012,True,1,3,True
0.05,S013,True,1,3,True
0.05,S014,True,1,3,True
0.05,S015,True,1,3,True
0.1,S001,True,2,15,True
0.1,S002,True,2,8,True
0.1,S003,True,2,8,True
0.1,S004,True,1,6,True
0.1,S005,True,1,6,True
0.1,S006,True,1,6,True
0.1,S007,True,1,5,True
0.1,S008,True,1,5,True
0.1,S009,True,1,3,True
0.1,S010,True,1,3,True
0.1,S011,True,1,3,True
0.1,S012,True,1,3,True
0.1,S013,True,1,3,True
0.1,S014,True,1,3,True
0.1,S015,True,1,3,True
0.15,S001,True,2,15,True
0.15,S002,True,2,8,True
0.15,S003,True,2,8,True
0.15,S004,True,1,6,True
0.15,S005,True,1,6,True
0.15,S006,True,1,6,True
0.15,S007,True,1,5,True
0.15,S008,True,1,5,True
0.15,S009,True,1,3,True
0.15,S010,True,1,3,True
0.15,S011,True,1,3,True
0.15,S012,True,1,3,True
0.15,S013,True,1,3,True
0.15,S014,True,1,3,True
0.15,S015,True,1,3,True
0.2,S001,True,2,15,True
0.2,S002,True,2,8,True
0.2,S003,True,2,8,True
0.2,S004,True,1,6,True
0.2,S005,True,1,6,True
0.2,S006,True,1,6,True
0.2,S007,True,1,5,True
0.2,S008,True,1,5,True
0.2,S009,True,1,3,True
0.2,S010,True,1,3,True
0.2,S011,True,1,3,True
0.2,S012,True,1,3,True
0.2,S013,True,1,3,True
0.2,S014,True,1,3,True
0.2,S015,True,1,3,True
0.25,S001,True,2,15,True
0.25,S002,True,2,8,True
0.25,S003,True,2,8,True
0.25,S004,True,2,6,True
0.25,S005,True,1,6,True
0.25,S006,True,1,6,True
0.25,S007,True,1,5,True
0.25,S008,True,1,5,True
0.25,S009,True,1,3,True
0.25,S010,True,1,3,True
0.25,S011,True,1,3,True
0.25,S012,True,1,3,True
0.25,S013,True,1,3,True
0.25,S014,True,1,3,True
0.25,S015,True,1,3,True
0.3,S001,True,2,15,True
0.3,S002,True,2,8,True
0.3,S003,True,2,8,True
0.3,S004,True,2,6,True
0.3,S005,True,1,6,True
0.3,S006,True,1,6,True
0.3,S007,True,1,5,True
0.3,S008,True,2,5,True
0.3,S009,True,1,3,True
0.3,S010,True,1,3,True
0.3,S011,True,1,3,True
0.3,S012,True,1,3,True
0.3,S013,True,1,3,True
0.3,S014,True,1,3,True
0.3,S015,True,1,3,True
0.35,S001,True,2,15,True
0.35,S002,True,3,8,True
0.35,S003,True,3,8,True
0.35,S004,True,3,6,True
0.35,S005,True,1,6,True
0.35,S006,True,1,6,True
0.35,S007,True,1,5,True
0.35,S008,True,4,5,True
0.35,S009,True,1,3,True
0.35,S010,True,1,3,True
0.35,S011,True,1,3,True
0.35,S012,True,1,3,True
0.35,S013,True,1,3,True
0.35,S014,True,1,3,True
0.35,S015,True,1,3,True
0.4,S001,True,2,15,False
0.4,S002,True,6,8,False
0.4,S003,True,6,8,False
0.4,S004,False,,6,False
0.4,S005,True,1,6,False
0.4,S006,True,1,6,False
0.4,S007,True,1,5,False
0.4,S008,False,,5,False
0.4,S009,True,1,3,False
0.4,S010,True,1,3,False
0.4,S011,True,1,3,False
0.4,S012,True,2,3,False
0.4,S013,True,1,3,False
0.4,S014,True,1,3,False
0.4,S015,True,1,3,False
0.45,S001,True,2,15,False
0.45,S002,False,,8,False
0.45,S003,False,,8,False
0.45,S004,False,,6,False
0.45,S005,True,1,6,False
0.45,S006,True,1,6,False
0.45,S007,True,1,5,False
0.45,S008,False,,5,False
0.45,S009,True,1,3,False
0.45,S010,True,1,3,False
0.45,S011,True,1,3,False
0.45,S012,False,,3,False
0.45,S013,True,1,3,False
0.45,S014,True,1,3,False
0.45,S015,True,1,3,False
