start,end,distance,cruise_altitude,climb,descent
O01,S001,3054.0236075149764,273.0566101074219,145.3566101074219,89.05661010742188
S001,O01,3054.0236075149764,273.0566101074219,89.05661010742188,145.3566101074219
O01,S002,7411.533814153884,308.9542541503906,181.25425415039064,89.45425415039062
S002,O01,7411.533814153884,308.9542541503906,89.45425415039062,181.25425415039064
O01,S003,7263.826967765937,561.8041381835938,434.10413818359376,223.30413818359375
S003,O01,7263.826967765937,561.8041381835938,223.30413818359375,434.10413818359376
O01,S004,7714.681646286507,398.2391662597656,270.53916625976564,169.9391662597656
S004,O01,7714.681646286507,398.2391662597656,169.9391662597656,270.53916625976564
O01,S005,5280.5933691157215,326.410888671875,198.710888671875,131.410888671875
S005,O01,5280.5933691157215,326.410888671875,131.410888671875,198.710888671875
O01,S006,3186.19885235084,366.09783935546875,238.39783935546876,51.29783935546874
S006,O01,3186.19885235084,366.09783935546875,51.29783935546874,238.39783935546876
O01,S007,4534.717374921003,511.9731750488281,384.27317504882814,163.47317504882812
S007,O01,4534.717374921003,511.9731750488281,163.47317504882812,384.27317504882814
O01,S008,8079.110448788476,372.9093322753906,245.20933227539064,102.00933227539062
S008,O01,8079.110448788476,372.9093322753906,102.00933227539062,245.20933227539064
O01,S009,5705.303446619009,293.2289123535156,165.52891235351564,63.228912353515625
S009,O01,5705.303446619009,293.2289123535156,63.228912353515625,165.52891235351564
O01,S010,4784.6745062617865,435.63653564453125,307.93653564453126,84.03653564453123
S010,O01,4784.6745062617865,435.63653564453125,84.03653564453123,307.93653564453126
O01,S011,2808.106412371872,295.36175537109375,167.66175537109376,83.26175537109376
S011,O01,2808.106412371872,295.36175537109375,83.26175537109376,167.66175537109376
O01,S012,7391.140162515387,413.3009948730469,285.6009948730469,133.50099487304686
S012,O01,7391.140162515387,413.3009948730469,133.50099487304686,285.6009948730469
O01,S013,4849.536854548781,399.18182373046875,271.48182373046876,47.48182373046876
S013,O01,4849.536854548781,399.18182373046875,47.48182373046876,271.48182373046876
O01,S014,5419.5362999417475,591.9473876953125,464.2473876953125,240.9473876953125
S014,O01,5419.5362999417475,591.9473876953125,240.9473876953125,464.2473876953125
O01,S015,6009.764892220415,571.7992553710938,444.09925537109376,97.29925537109375
S015,O01,6009.764892220415,571.7992553710938,97.29925537109375,444.09925537109376
