服务区编号,服务区名称,单程水平距离_m,往返水平距离_m,沿线最高高程_m,巡航海拔_m,去程爬升_m,返程爬升_m
S001,平旺、那龙、镇龙乡,3054.0236075149764,6108.047215029953,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188
S002,上良,7411.533814153884,14823.067628307768,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062
S003,六造、那旭、都长,7263.826967765937,14527.653935531875,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375
S004,大站,7714.681646286507,15429.363292573014,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656
S005,上良、古律、那麓,5280.5933691157215,10561.186738231443,276.410888671875,326.410888671875,198.710888671875,131.410888671875
S006,六昌、木路,3186.19885235084,6372.39770470168,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874
S007,佛子、那桑、银坑,4534.717374921003,9069.434749842007,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812
S008,古麻、大站,8079.110448788476,16158.220897576952,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539062
S009,那龙,5705.303446619009,11410.606893238019,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625
S010,镇龙乡,4784.6745062617865,9569.349012523573,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123
S011,那从,2808.106412371872,5616.212824743744,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376
S012,镇龙乡,7391.140162515387,14782.280325030773,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686
S013,镇龙乡,4849.536854548781,9699.073709097562,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876
S014,镇龙乡,5419.5362999417475,10839.072599883495,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125
S015,六造、那托、那旭,6009.764892220415,12019.52978444083,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375
