batch_id,service_id,model,box_id
Q1-001,S001,C,S001-WAT-01
Q1-001,S001,C,S001-WAT-02
Q1-001,S001,C,S001-WAT-03
Q1-001,S001,C,S001-FOD-01
Q1-001,S001,C,S001-FOD-02
Q1-001,S001,C,S001-FOD-03
Q1-001,S001,C,S001-HYG-01
Q1-001,S001,C,S001-HYG-02
Q1-002,S001,C,S001-MED-01
Q1-002,S001,C,S001-MED-02
Q1-002,S001,C,S001-WAT-04
Q1-002,S001,C,S001-WAT-05
Q1-002,S001,C,S001-WAT-06
Q1-002,S001,C,S001-WAT-07
Q1-002,S001,C,S001-WAT-08
Q1-003,S002,B,S002-MED-01
Q1-003,S002,B,S002-WAT-01
Q1-003,S002,B,S002-FOD-01
Q1-004,S002,C,S002-WAT-02
Q1-004,S002,C,S002-WAT-03
Q1-004,S002,C,S002-WAT-04
Q1-004,S002,C,S002-FOD-02
Q1-004,S002,C,S002-HYG-01
Q1-005,S003,B,S003-MED-01
Q1-005,S003,B,S003-WAT-01
Q1-005,S003,B,S003-FOD-01
Q1-006,S003,C,S003-WAT-02
Q1-006,S003,C,S003-WAT-03
Q1-006,S003,C,S003-WAT-04
Q1-006,S003,C,S003-FOD-02
Q1-006,S003,C,S003-HYG-01
Q1-007,S004,C,S004-MED-01
Q1-007,S004,C,S004-WAT-01
Q1-007,S004,C,S004-WAT-02
Q1-007,S004,C,S004-WAT-03
Q1-007,S004,C,S004-FOD-01
Q1-007,S004,C,S004-HYG-01
Q1-008,S005,C,S005-MED-01
Q1-008,S005,C,S005-WAT-01
Q1-008,S005,C,S005-WAT-02
Q1-008,S005,C,S005-WAT-03
Q1-008,S005,C,S005-FOD-01
Q1-008,S005,C,S005-HYG-01
Q1-009,S006,C,S006-MED-01
Q1-009,S006,C,S006-WAT-01
Q1-009,S006,C,S006-WAT-02
Q1-009,S006,C,S006-WAT-03
Q1-009,S006,C,S006-FOD-01
Q1-009,S006,C,S006-HYG-01
Q1-010,S007,C,S007-MED-01
Q1-010,S007,C,S007-WAT-01
Q1-010,S007,C,S007-WAT-02
Q1-010,S007,C,S007-FOD-01
Q1-010,S007,C,S007-HYG-01
Q1-011,S008,C,S008-MED-01
Q1-011,S008,C,S008-WAT-01
Q1-011,S008,C,S008-WAT-02
Q1-011,S008,C,S008-FOD-01
Q1-011,S008,C,S008-HYG-01
Q1-012,S009,B,S009-MED-01
Q1-012,S009,B,S009-WAT-01
Q1-012,S009,B,S009-FOD-01
Q1-013,S010,B,S010-MED-01
Q1-013,S010,B,S010-WAT-01
Q1-013,S010,B,S010-FOD-01
Q1-014,S011,B,S011-MED-01
Q1-014,S011,B,S011-WAT-01
Q1-014,S011,B,S011-FOD-01
Q1-015,S012,B,S012-MED-01
Q1-015,S012,B,S012-WAT-01
Q1-015,S012,B,S012-FOD-01
Q1-016,S013,B,S013-MED-01
Q1-016,S013,B,S013-WAT-01
Q1-016,S013,B,S013-FOD-01
Q1-017,S014,B,S014-MED-01
Q1-017,S014,B,S014-WAT-01
Q1-017,S014,B,S014-FOD-01
Q1-018,S015,B,S015-MED-01
Q1-018,S015,B,S015-WAT-01
Q1-018,S015,B,S015-FOD-01
