service_id,model,counts,box_count,mass_kg,volume_m3,horizontal_out_kwh,horizontal_return_kwh,climb_out_kwh,climb_return_kwh,energy_kwh,flight_time_s,work_time_s,return_soc_percent,payload_limit_kg,volume_limit_m3,energy_budget_kwh,reserve_percent,box_ids,batch_id
S001,C,"[0,3,3,2]",8,78.0,0.235,1.9511870756376157,0.9396995715430697,0.08133709148743111,0.023552066236553017,2.9957758049046697,618.1750458620229,1626.175045862023,62.552802438691636,80,0.25,6.4,20,"[""S001-WAT-01"",""S001-WAT-02"",""S001-WAT-03"",""S001-FOD-01"",""S001-FOD-02"",""S001-FOD-03"",""S001-HYG-01"",""S001-HYG-02""]",Q1-001
S001,C,"[2,5,0,0]",7,76.0,0.159,1.874099259375722,0.9396995715430697,0.08023719843148208,0.023552066236553017,2.917588095586827,618.1750458620229,1560.175045862023,63.53014880516466,80,0.25,6.4,20,"[""S001-MED-01"",""S001-MED-02"",""S001-WAT-04"",""S001-WAT-05"",""S001-WAT-06"",""S001-WAT-07"",""S001-WAT-08""]",Q1-002
S002,B,"[1,1,1,0]",3,25.0,0.067,1.5709648966225414,1.0587905448791264,0.061718646925830845,0.02199885281448894,2.7134729412419873,1186.7240813077576,1816.7240813077576,32.16317646895032,30,0.073,3.2,20,"[""S002-MED-01"",""S002-WAT-01"",""S002-FOD-01""]",Q1-003
S002,C,"[0,3,1,1]",5,56.0,0.144,3.330889503834752,2.28047194281658,0.08633752942180115,0.023657227872811954,5.721356203945945,1231.8421660245544,2041.8421660245544,28.48304745067569,80,0.25,6.4,20,"[""S002-WAT-02"",""S002-WAT-03"",""S002-WAT-04"",""S002-FOD-02"",""S002-HYG-01""]",Q1-004
S003,B,"[1,1,1,0]",3,25.0,0.067,1.5396566308188897,1.0376895668237054,0.14781622731660207,0.05491560927341014,2.7800780342326075,1450.6096650380623,2080.6096650380623,30.49804914418481,30,0.073,3.2,20,"[""S003-MED-01"",""S003-WAT-01"",""S003-FOD-01""]",Q1-005
S003,C,"[0,3,1,1]",5,56.0,0.144,3.264507133246551,2.235023682389519,0.2067784779906689,0.059055401357097984,5.7653646949838375,1560.1777110992603,2370.1777110992603,27.93294131270203,80,0.25,6.4,20,"[""S003-WAT-02"",""S003-WAT-03"",""S003-WAT-04"",""S003-FOD-02"",""S003-HYG-01""]",Q1-006
S004,C,"[1,3,1,1]",6,59.0,0.156,3.6022318728088987,2.373748198857387,0.13193764958251988,0.044942407925776626,6.152860129174582,1425.0547187724458,2301.054718772446,23.089248385317727,80,0.25,6.4,20,"[""S004-MED-01"",""S004-WAT-01"",""S004-WAT-02"",""S004-WAT-03"",""S004-FOD-01"",""S004-HYG-01""]",Q1-007
S005,C,"[1,3,1,1]",6,59.0,0.156,2.4656781204611673,1.6247979597279143,0.09690814073348464,0.03475315252254769,4.222137373445114,1001.1887154914712,1877.1887154914712,47.223282831936075,80,0.25,6.4,20,"[""S005-MED-01"",""S005-WAT-01"",""S005-WAT-02"",""S005-WAT-03"",""S005-FOD-01"",""S005-HYG-01""]",Q1-008
S006,C,"[1,3,1,1]",6,59.0,0.156,1.4877382613150387,0.9803688776464122,0.11626283552567251,0.01356631595155864,2.5979362904386822,685.5526244866224,1561.5526244866223,67.52579636951648,80,0.25,6.4,20,"[""S006-MED-01"",""S006-WAT-01"",""S006-WAT-02"",""S006-WAT-03"",""S006-FOD-01"",""S006-HYG-01""]",Q1-009
S007,C,"[1,2,1,1]",5,45.0,0.129,1.805424024851908,1.3952976538218471,0.16704972914253036,0.04323240062703398,3.4110038084433194,1097.600698410691,1907.600698410691,57.36245239445851,80,0.25,6.4,20,"[""S007-MED-01"",""S007-WAT-01"",""S007-WAT-02"",""S007-FOD-01"",""S007-HYG-01""]",Q1-010
