id,service_id,type,type_name,mass_kg,volume_m3,first_batch,first_deadline_s,due_s,priority,volume_litre
S001-MED-01,S001,MED,医疗物资,3.0,0.012,是,3600,3600,24,12
S001-MED-02,S001,MED,医疗物资,3.0,0.012,否,null,3600,24,12
S001-WAT-01,S001,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
S001-WAT-02,S001,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S001-WAT-03,S001,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S001-WAT-04,S001,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S001-WAT-05,S001,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S001-WAT-06,S001,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S001-WAT-07,S001,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S001-WAT-08,S001,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S001-FOD-01,S001,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S001-FOD-02,S001,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S001-FOD-03,S001,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S001-HYG-01,S001,HYG,生活卫生用品,6.0,0.035,否,null,10800,8,35
S001-HYG-02,S001,HYG,生活卫生用品,6.0,0.035,否,null,10800,8,35
S002-MED-01,S002,MED,医疗物资,3.0,0.012,是,3600,3600,24,12
S002-WAT-01,S002,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
S002-WAT-02,S002,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S002-WAT-03,S002,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S002-WAT-04,S002,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S002-FOD-01,S002,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S002-FOD-02,S002,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S002-HYG-01,S002,HYG,生活卫生用品,6.0,0.035,否,null,10800,8,35
S003-MED-01,S003,MED,医疗物资,3.0,0.012,是,7200,7200,20,12
S003-WAT-01,S003,WAT,饮用水,14.0,0.027,是,7200,7200,10,27
S003-WAT-02,S003,WAT,饮用水,14.0,0.027,否,null,7200,10,27
S003-WAT-03,S003,WAT,饮用水,14.0,0.027,否,null,7200,10,27
S003-WAT-04,S003,WAT,饮用水,14.0,0.027,否,null,7200,10,27
S003-FOD-01,S003,FOD,应急食品,8.0,0.028,否,null,10800,8,28
S003-FOD-02,S003,FOD,应急食品,8.0,0.028,否,null,10800,8,28
S003-HYG-01,S003,HYG,生活卫生用品,6.0,0.035,否,null,14400,6,35
S004-MED-01,S004,MED,医疗物资,3.0,0.012,是,7200,7200,20,12
S004-WAT-01,S004,WAT,饮用水,14.0,0.027,是,7200,7200,10,27
S004-WAT-02,S004,WAT,饮用水,14.0,0.027,否,null,7200,10,27
S004-WAT-03,S004,WAT,饮用水,14.0,0.027,否,null,7200,10,27
S004-FOD-01,S004,FOD,应急食品,8.0,0.028,否,null,10800,8,28
S004-HYG-01,S004,HYG,生活卫生用品,6.0,0.035,否,null,14400,6,35
S005-MED-01,S005,MED,医疗物资,3.0,0.012,是,10800,10800,16,12
S005-WAT-01,S005,WAT,饮用水,14.0,0.027,是,10800,10800,8,27
S005-WAT-02,S005,WAT,饮用水,14.0,0.027,否,null,10800,8,27
S005-WAT-03,S005,WAT,饮用水,14.0,0.027,否,null,10800,8,27
S005-FOD-01,S005,FOD,应急食品,8.0,0.028,否,null,14400,6,28
S005-HYG-01,S005,HYG,生活卫生用品,6.0,0.035,否,null,18000,4,35
S006-MED-01,S006,MED,医疗物资,3.0,0.012,是,3600,3600,24,12
S006-WAT-01,S006,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
S006-WAT-02,S006,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S006-WAT-03,S006,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S006-FOD-01,S006,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S006-HYG-01,S006,HYG,生活卫生用品,6.0,0.035,否,null,10800,8,35
S007-MED-01,S007,MED,医疗物资,3.0,0.012,是,3600,3600,24,12
S007-WAT-01,S007,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
S007-WAT-02,S007,WAT,饮用水,14.0,0.027,否,null,3600,12,27
S007-FOD-01,S007,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S007-HYG-01,S007,HYG,生活卫生用品,6.0,0.035,否,null,10800,8,35
S008-MED-01,S008,MED,医疗物资,3.0,0.012,是,7200,7200,20,12
S008-WAT-01,S008,WAT,饮用水,14.0,0.027,是,7200,7200,10,27
S008-WAT-02,S008,WAT,饮用水,14.0,0.027,否,null,7200,10,27
S008-FOD-01,S008,FOD,应急食品,8.0,0.028,否,null,10800,8,28
S008-HYG-01,S008,HYG,生活卫生用品,6.0,0.035,否,null,14400,6,35
S009-MED-01,S009,MED,医疗物资,3.0,0.012,是,10800,10800,16,12
S009-WAT-01,S009,WAT,饮用水,14.0,0.027,是,10800,10800,8,27
S009-FOD-01,S009,FOD,应急食品,8.0,0.028,否,null,14400,6,28
S010-MED-01,S010,MED,医疗物资,3.0,0.012,是,3600,3600,24,12
S010-WAT-01,S010,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
S010-FOD-01,S010,FOD,应急食品,8.0,0.028,否,null,7200,10,28
S011-MED-01,S011,MED,医疗物资,3.0,0.012,是,10800,10800,16,12
S011-WAT-01,S011,WAT,饮用水,14.0,0.027,是,10800,10800,8,27
S011-FOD-01,S011,FOD,应急食品,8.0,0.028,否,null,14400,6,28
S012-MED-01,S012,MED,医疗物资,3.0,0.012,是,3600,7200,22,12
S012-WAT-01,S012,WAT,饮用水,14.0,0.027,是,3600,3600,12,27
