table,field,unit,type,description
数据/nodes.csv,id,1,text,原始节点、机型或货箱唯一编号
数据/nodes.csv,name,1,text,原表名称
数据/nodes.csv,lon,degree,number,WGS84经度
数据/nodes.csv,lat,degree,number,WGS84纬度
数据/nodes.csv,elevation_m,m,number,原节点表地面海拔；与DEM像元高程分别取源
数据/nodes.csv,x_m,m,number,O01原点局部椭球平面东向坐标
数据/nodes.csv,y_m,m,number,O01原点局部椭球平面北向坐标
数据/nodes.csv,operation_altitude_m,m,number,O01取地面海拔，服务区取地面海拔+30m
数据/drones.csv,id,1,text,原始节点、机型或货箱唯一编号
数据/drones.csv,name,1,text,原表名称
数据/drones.csv,empty_mass_kg,kg,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,payload_kg,kg,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,cruise_mps,m/s,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,empty_range_m,m,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,full_range_m,m,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,energy_kwh,kWh,number,单架次或方案往返总运输能耗
数据/drones.csv,reserve_percent,%,integer,安全余量百分数，例如20表示20%
数据/drones.csv,prepare_s,s,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,load_per_box_s,s,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,handover_base_s,s,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,handover_per_box_s,s,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,climb_mps,m/s,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,descend_mps,m/s,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,climb_efficiency,1,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,descent_extra_efficiency,1,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/drones.csv,volume_litre,L,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/boxes.csv,id,1,text,原始节点、机型或货箱唯一编号
数据/boxes.csv,service_id,1,text,目标服务区编号
数据/boxes.csv,type,1,text,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/boxes.csv,type_name,1,text,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/boxes.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/boxes.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/boxes.csv,first_batch,1,text,原需求表保留字段；第一问未施加物理机队与首批时限调度
数据/boxes.csv,first_deadline_s,s,integer,原需求表保留字段；第一问未作为约束求解
数据/boxes.csv,due_s,s,integer,原需求表保留字段；第一问未作为约束求解
数据/boxes.csv,priority,1,integer,原需求表保留字段；第一问未作为调度目标求解
数据/boxes.csv,volume_litre,L,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/routes.csv,service_id,1,text,目标服务区编号
数据/routes.csv,distance_m,m,number,O01到目标服务区的单程水平直线距离；不含垂直段
数据/routes.csv,max_terrain_m,m,number,相交DEM闭像元原值的最大海拔
数据/routes.csv,cruise_altitude_m,m,number,所有相交DEM闭像元最高海拔+50m
数据/routes.csv,outbound_climb_m,m,number,巡航海拔减O01地面海拔
数据/routes.csv,return_climb_m,m,number,巡航海拔减服务区作业海拔
数据/routes.csv,crossed_cell_count,1,integer,相交DEM闭像元数
数据/routes.csv,peak_cells,1,json,"达到最高地形海拔的零基[row,column]数组"
数据/routes.csv,crossed_cells,1,json,"完整相交DEM像元的零基[row,column]数组；PixelIsPoint"
数据/batches.csv,service_id,1,text,目标服务区编号
数据/batches.csv,model,1,text,机型编号
数据/batches.csv,counts,1,json,"按MED,WAT,FOD,HYG排列的各类货箱数JSON数组"
数据/batches.csv,box_count,1,integer,货箱数
数据/batches.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,horizontal_out_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,horizontal_return_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,climb_out_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,climb_return_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,energy_kwh,kWh,number,单架次或方案往返总运输能耗
数据/batches.csv,flight_time_s,s,number,含水平往返及垂直升降的飞行时间
数据/batches.csv,work_time_s,s,number,准备+装载+飞行+交接的累计作业时间；不是多机并行完工时间
数据/batches.csv,return_soc_percent,%,number,返航剩余能量占可用电池能量的百分数
数据/batches.csv,payload_limit_kg,kg,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,volume_limit_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,energy_budget_kwh,kWh,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/batches.csv,reserve_percent,%,integer,安全余量百分数，例如20表示20%
数据/batches.csv,box_ids,1,json,该架次包含的真实货箱编号JSON数组
数据/batches.csv,batch_id,1,text,方案内架次编号
数据/service_summary.csv,service_id,1,text,目标服务区编号
数据/service_summary.csv,demand,1,json,"按MED,WAT,FOD,HYG排列的服务区需求数量JSON数组"
数据/service_summary.csv,box_count,1,integer,货箱数
数据/service_summary.csv,mass_kg,kg,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/service_summary.csv,volume_m3,m^3,number,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/service_summary.csv,flight_count,1,integer,往返架次数
数据/service_summary.csv,energy_kwh,kWh,number,单架次或方案往返总运输能耗
数据/service_summary.csv,work_time_s,s,number,准备+装载+飞行+交接的累计作业时间；不是多机并行完工时间
数据/service_summary.csv,flight_time_s,s,number,含水平往返及垂直升降的飞行时间
数据/service_summary.csv,model_counts,1,json,各机型架次数JSON字典
数据/service_summary.csv,minimum_soc_percent,%,number,方案中最低返航SOC百分数
数据/service_summary.csv,state_count,1,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/service_summary.csv,feasible_candidate_count,1,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
数据/service_summary.csv,simple_flight_lower_bound,1,integer,沿用正式JSON字段；详见源对象及字段名中的单位后缀
