service_id,model,rated_payload_kg,full_load_maximum_reserve_percent,empty_roundtrip_maximum_reserve_percent,samples
S001,A,25,70.82866130264864,74.18821075903834,"[{""reserve_percent"":0,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":30,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":35,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":40,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":45,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":50,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":60,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""}]"
S001,B,30,68.15147570379617,76.74435597704931,"[{""reserve_percent"":0,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":30,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":35,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":40,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":45,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":50,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":60,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""}]"
S001,C,80,61.478695491671,75.73259410464861,"[{""reserve_percent"":0,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":30,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":35,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":40,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":45,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":50,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":60,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}]"
S002,A,25,31.322006052488593,39.114519168653786,"[{""reserve_percent"":0,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":30,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":35,""safe_payload_kg"":17.283795028924942,""limiting_factor"":""energy_reserve""},{""reserve_percent"":40,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":45,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":50,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":60,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""}]"
S002,B,30,25.029492203099537,45.396136977298404,"[{""reserve_percent"":0,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":30,""safe_payload_kg"":26.74493283033371,""limiting_factor"":""energy_reserve""},{""reserve_percent"":35,""safe_payload_kg"":22.290045619010925,""limiting_factor"":""energy_reserve""},{""reserve_percent"":40,""safe_payload_kg"":15.70065826177597,""limiting_factor"":""energy_reserve""},{""reserve_percent"":45,""safe_payload_kg"":2.9051560163497925,""limiting_factor"":""energy_reserve""},{""reserve_percent"":50,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":60,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""}]"
S002,C,80,8.150655640908278,42.093300883937076,"[{""reserve_percent"":0,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":78.59221816062927,""limiting_factor"":""energy_reserve""},{""reserve_percent"":15,""safe_payload_kg"":74.23927307128906,""limiting_factor"":""energy_reserve""},{""reserve_percent"":20,""safe_payload_kg"":68.85810375213623,""limiting_factor"":""energy_reserve""},{""reserve_percent"":25,""safe_payload_kg"":62.012723088264465,""limiting_factor"":""energy_reserve""},{""reserve_percent"":30,""safe_payload_kg"":52.94820785522461,""limiting_factor"":""energy_reserve""},{""reserve_percent"":35,""safe_payload_kg"":40.14873266220093,""limiting_factor"":""energy_reserve""},{""reserve_percent"":40,""safe_payload_kg"":19.212015867233276,""limiting_factor"":""energy_reserve""},{""reserve_percent"":45,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":50,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":60,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""}]"
S003,A,25,29.84404335999259,38.020316175391876,"[{""reserve_percent"":0,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":30,""safe_payload_kg"":24.730003625154495,""limiting_factor"":""energy_reserve""},{""reserve_percent"":35,""safe_payload_kg"":13.567428290843964,""limiting_factor"":""energy_reserve""},{""reserve_percent"":40,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":45,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":50,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":60,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""}]"
S003,B,30,23.385246050402444,44.07372732265193,"[{""reserve_percent"":0,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":29.03374582529068,""limiting_factor"":""energy_reserve""},{""reserve_percent"":30,""safe_payload_kg"":25.42316436767578,""limiting_factor"":""energy_reserve""},{""reserve_percent"":35,""safe_payload_kg"":20.435295403003693,""limiting_factor"":""energy_reserve""},{""reserve_percent"":40,""safe_payload_kg"":12.85735309123993,""limiting_factor"":""energy_reserve""},{""reserve_percent"":45,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":50,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":60,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""}]"
S003,C,80,7.714668322512452,41.95116621643295,"[{""reserve_percent"":0,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":80,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":78.22619259357452,""limiting_factor"":""energy_reserve""},{""reserve_percent"":15,""safe_payload_kg"":73.74640643596649,""limiting_factor"":""energy_reserve""},{""reserve_percent"":20,""safe_payload_kg"":68.1995415687561,""limiting_factor"":""energy_reserve""},{""reserve_percent"":25,""safe_payload_kg"":61.136136054992676,""limiting_factor"":""energy_reserve""},{""reserve_percent"":30,""safe_payload_kg"":51.78519666194916,""limiting_factor"":""energy_reserve""},{""reserve_percent"":35,""safe_payload_kg"":38.62098932266235,""limiting_factor"":""energy_reserve""},{""reserve_percent"":40,""safe_payload_kg"":17.27960705757141,""limiting_factor"":""energy_reserve""},{""reserve_percent"":45,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":50,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":60,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""}]"
S004,A,25,27.406854795542333,35.69018418591347,"[{""reserve_percent"":0,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":5,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":10,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":15,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":20,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":25,""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},{""reserve_percent"":30,""safe_payload_kg"":20.1714925467968,""limiting_factor"":""energy_reserve""},{""reserve_percent"":35,""safe_payload_kg"":5.073702335357666,""limiting_factor"":""energy_reserve""},{""reserve_percent"":40,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":45,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":50,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""},{""reserve_percent"":60,""safe_payload_kg"":null,""limiting_factor"":""empty_roundtrip_infeasible""}]"
