service_id,distance_m,max_terrain_m,cruise_altitude_m,outbound_climb_m,return_climb_m,crossed_cell_count,peak_cells,crossed_cells
S001,3054.0236075149764,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136,"[[721,741]]","[[688,757],[688,758],[689,757],[690,756],[690,757],[691,756],[692,755],[692,756],[693,755],[694,754],[694,755],[695,754],[696,753],[696,754],[697,753],[698,752],[698,753],[699,752],[700,751],[700,752],[701,751],[702,751],[703,750],[703,751],[704,750],[705,749],[705,750],[706,749],[707,748],[707,749],[708,748],[709,747],[709,748],[710,747],[711,746],[711,747],[712,746],[713,745],[713,746],[714,745],[715,744],[715,745],[716,744],[717,743],[717,744],[718,743],[719,742],[719,743],[720,742],[721,741],[721,742],[722,741],[723,740],[723,741],[724,740],[725,739],[725,740],[726,739],[727,738],[727,739],[728,738],[729,737],[729,738],[730,737],[731,736],[731,737],[732,736],[733,735],[733,736],[734,735],[735,734],[735,735],[736,734],[737,733],[737,734],[738,733],[739,732],[739,733],[740,732],[741,731],[741,732],[742,731],[743,730],[743,731],[744,730],[745,729],[745,730],[746,729],[747,728],[747,729],[748,728],[749,727],[749,728],[750,727],[751,726],[751,727],[752,726],[753,725],[753,726],[754,725],[755,724],[755,725],[756,724],[757,723],[757,724],[758,723],[759,722],[759,723],[760,722],[761,721],[761,722],[762,721],[763,720],[763,721],[764,720],[765,719],[765,720],[766,719],[767,718],[767,719],[768,718],[769,717],[769,718],[770,717],[771,716],[771,717],[772,716],[773,715],[773,716],[774,715],[775,714],[775,715],[776,714],[777,713],[777,714],[778,713]]"
S002,7411.533814153884,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,323,"[[591,797]]","[[556,812],[556,813],[557,812],[558,812],[559,811],[559,812],[560,811],[561,810],[561,811],[562,810],[563,809],[563,810],[564,809],[565,808],[565,809],[566,808],[567,808],[568,807],[568,808],[569,807],[570,806],[570,807],[571,806],[572,805],[572,806],[573,805],[574,804],[574,805],[575,804],[576,804],[577,803],[577,804],[578,803],[579,802],[579,803],[580,802],[581,801],[581,802],[582,801],[583,800],[583,801],[584,800],[585,799],[585,800],[586,799],[587,799],[588,798],[588,799],[589,798],[590,797],[590,798],[591,797],[592,796],[592,797],[593,796],[594,795],[594,796],[595,795],[596,795],[597,794],[597,795],[598,794],[599,793],[599,794],[600,793],[601,792],[601,793],[602,792],[603,791],[603,792],[604,791],[605,791],[606,790],[606,791],[607,790],[608,789],[608,790],[609,789],[610,788],[610,789],[611,788],[612,787],[612,788],[613,787],[614,786],[614,787],[615,786],[616,786],[617,785],[617,786],[618,785],[619,784],[619,785],[620,784],[621,783],[621,784],[622,783],[623,782],[623,783],[624,782],[625,782],[626,781],[626,782],[627,781],[628,780],[628,781],[629,780],[630,779],[630,780],[631,779],[632,778],[632,779],[633,778],[634,778],[635,777],[635,778],[636,777],[637,776],[637,777],[638,776],[639,775],[639,776],[640,775],[641,774],[641,775],[642,774],[643,773],[643,774],[644,773],[645,773],[646,772],[646,773],[647,772],[648,771],[648,772],[649,771],[650,770],[650,771],[651,770],[652,769],[652,770],[653,769],[654,769],[655,768],[655,769],[656,768],[657,767],[657,768],[658,767],[659,766],[659,767],[660,766],[661,765],[661,766],[662,765],[663,765],[664,764],[664,765],[665,764],[666,763],[666,764],[667,763],[668,762],[668,763],[669,762],[670,761],[670,762],[671,761],[672,761],[673,760],[673,761],[674,760],[675,759],[675,760],[676,759],[677,758],[677,759],[678,758],[679,757],[679,758],[680,757],[681,756],[681,757],[682,756],[683,756],[684,755],[684,756],[685,755],[686,754],[686,755],[687,754],[688,753],[688,754],[689,753],[690,752],[690,753],[691,752],[692,752],[693,751],[693,752],[694,751],[695,750],[695,751],[696,750],[697,749],[697,750],[698,749],[699,748],[699,749],[700,748],[701,748],[702,747],[702,748],[703,747],[704,746],[704,747],[705,746],[706,745],[706,746],[707,745],[708,744],[708,745],[709,744],[710,743],[710,744],[711,743],[712,743],[713,742],[713,743],[714,742],[715,741],[715,742],[716,741],[717,740],[717,741],[718,740],[719,739],[719,740],[720,739],[721,739],[722,738],[722,739],[723,738],[724,737],[724,738],[725,737],[726,736],[726,737],[727,736],[728,735],[728,736],[729,735],[730,735],[731,734],[731,735],[732,734],[733,733],[733,734],[734,733],[735,732],[735,733],[736,732],[737,731],[737,732],[738,731],[739,730],[739,731],[740,730],[741,730],[742,729],[742,730],[743,729],[744,728],[744,729],[745,728],[746,727],[746,728],[747,727],[748,726],[748,727],[749,726],[750,726],[751,725],[751,726],[752,725],[753,724],[753,725],[754,724],[755,723],[755,724],[756,723],[757,722],[757,723],[758,722],[759,722],[760,721],[760,722],[761,721],[762,720],[762,721],[763,720],[764,719],[764,720],[765,719],[766,718],[766,719],[767,718],[768,717],[768,718],[769,717],[770,717],[771,716],[771,717],[772,716],[773,715],[773,716],[774,715],[775,714],[775,715],[776,714],[777,713],[777,714],[778,713]]"
S003,7263.826967765937,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,338,"[[726,610]]","[[664,490],[664,491],[665,491],[665,492],[665,493],[666,493],[666,494],[666,495],[667,495],[667,496],[667,497],[668,497],[668,498],[668,499],[669,499],[669,500],[669,501],[670,501],[670,502],[670,503],[671,503],[671,504],[672,504],[672,505],[672,506],[673,506],[673,507],[673,508],[674,508],[674,509],[674,510],[675,510],[675,511],[675,512],[676,512],[676,513],[676,514],[677,514],[677,515],[677,516],[678,516],[678,517],[678,518],[679,518],[679,519],[679,520],[680,520],[680,521],[680,522],[681,522],[681,523],[681,524],[682,524],[682,525],[682,526],[683,526],[683,527],[683,528],[684,528],[684,529],[684,530],[685,530],[685,531],[685,532],[686,532],[686,533],[686,534],[687,534],[687,535],[687,536],[688,536],[688,537],[688,538],[689,538],[689,539],[689,540],[690,540],[690,541],[690,542],[691,542],[691,543],[691,544],[692,544],[692,545],[693,545],[693,546],[693,547],[694,547],[694,548],[694,549],[695,549],[695,550],[695,551],[696,551],[696,552],[696,553],[697,553],[697,554],[697,555],[698,555],[698,556],[698,557],[699,557],[699,558],[699,559],[700,559],[700,560],[700,561],[701,561],[701,562],[701,563],[702,563],[702,564],[702,565],[703,565],[703,566],[703,567],[704,567],[704,568],[704,569],[705,569],[705,570],[705,571],[706,571],[706,572],[706,573],[707,573],[707,574],[707,575],[708,575],[708,576],[708,577],[709,577],[709,578],[709,579],[710,579],[710,580],[710,581],[711,581],[711,582],[711,583],[712,583],[712,584],[712,585],[713,585],[713,586],[714,586],[714,587],[714,588],[715,588],[715,589],[715,590],[716,590],[716,591],[716,592],[717,592],[717,593],[717,594],[718,594],[718,595],[718,596],[719,596],[719,597],[719,598],[720,598],[720,599],[720,600],[721,600],[721,601],[721,602],[722,602],[722,603],[722,604],[723,604],[723,605],[723,606],[724,606],[724,607],[724,608],[725,608],[725,609],[725,610],[726,610],[726,611],[726,612],[727,612],[727,613],[727,614],[728,614],[728,615],[728,616],[729,616],[729,617],[729,618],[730,618],[730,619],[730,620],[731,620],[731,621],[731,622],[732,622],[732,623],[732,624],[733,624],[733,625],[734,625],[734,626],[734,627],[735,627],[735,628],[735,629],[736,629],[736,630],[736,631],[737,631],[737,632],[737,633],[738,633],[738,634],[738,635],[739,635],[739,636],[739,637],[740,637],[740,638],[740,639],[741,639],[741,640],[741,641],[742,641],[742,642],[742,643],[743,643],[743,644],[743,645],[744,645],[744,646],[744,647],[745,647],[745,648],[745,649],[746,649],[746,650],[746,651],[747,651],[747,652],[747,653],[748,653],[748,654],[748,655],[749,655],[749,656],[749,657],[750,657],[750,658],[750,659],[751,659],[751,660],[751,661],[752,661],[752,662],[752,663],[753,663],[753,664],[753,665],[754,665],[754,666],[755,666],[755,667],[755,668],[756,668],[756,669],[756,670],[757,670],[757,671],[757,672],[758,672],[758,673],[758,674],[759,674],[759,675],[759,676],[760,676],[760,677],[760,678],[761,678],[761,679],[761,680],[762,680],[762,681],[762,682],[763,682],[763,683],[763,684],[764,684],[764,685],[764,686],[765,686],[765,687],[765,688],[766,688],[766,689],[766,690],[767,690],[767,691],[767,692],[768,692],[768,693],[768,694],[769,694],[769,695],[769,696],[770,696],[770,697],[770,698],[771,698],[771,699],[771,700],[772,700],[772,701],[772,702],[773,702],[773,703],[773,704],[774,704],[774,705],[774,706],[775,706],[775,707],[776,707],[776,708],[776,709],[777,709],[777,710],[777,711],[778,711],[778,712],[778,713]]"
S004,7714.681646286507,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,276,"[[587,733]]","[[529,739],[530,739],[531,739],[532,739],[533,739],[534,739],[535,739],[536,739],[537,738],[537,739],[538,738],[539,738],[540,738],[541,738],[542,738],[543,738],[544,738],[545,738],[546,738],[547,737],[547,738],[548,737],[549,737],[550,737],[551,737],[552,737],[553,737],[554,737],[555,737],[556,736],[556,737],[557,736],[558,736],[559,736],[560,736],[561,736],[562,736],[563,736],[564,736],[565,736],[566,735],[566,736],[567,735],[568,735],[569,735],[570,735],[571,735],[572,735],[573,735],[574,735],[575,734],[575,735],[576,734],[577,734],[578,734],[579,734],[580,734],[581,734],[582,734],[583,734],[584,734],[585,733],[585,734],[586,733],[587,733],[588,733],[589,733],[590,733],[591,733],[592,733],[593,733],[594,732],[594,733],[595,732],[596,732],[597,732],[598,732],[599,732],[600,732],[601,732],[602,732],[603,732],[604,731],[604,732],[605,731],[606,731],[607,731],[608,731],[609,731],[610,731],[611,731],[612,731],[613,730],[613,731],[614,730],[615,730],[616,730],[617,730],[618,730],[619,730],[620,730],[621,730],[622,730],[623,729],[623,730],[624,729],[625,729],[626,729],[627,729],[628,729],[629,729],[630,729],[631,729],[632,728],[632,729],[633,728],[634,728],[635,728],[636,728],[637,728],[638,728],[639,728],[640,728],[641,728],[642,727],[642,728],[643,727],[644,727],[645,727],[646,727],[647,727],[648,727],[649,727],[650,727],[651,726],[651,727],[652,726],[653,726],[654,726],[655,726],[656,726],[657,726],[658,726],[659,726],[660,726],[661,725],[661,726],[662,725],[663,725],[664,725],[665,725],[666,725],[667,725],[668,725],[669,725],[670,724],[670,725],[671,724],[672,724],[673,724],[674,724],[675,724],[676,724],[677,724],[678,724],[679,724],[680,723],[680,724],[681,723],[682,723],[683,723],[684,723],[685,723],[686,723],[687,723],[688,723],[689,722],[689,723],[690,722],[691,722],[692,722],[693,722],[694,722],[695,722],[696,722],[697,722],[698,721],[698,722],[699,721],[700,721],[701,721],[702,721],[703,721],[704,721],[705,721],[706,721],[707,721],[708,720],[708,721],[709,720],[710,720],[711,720],[712,720],[713,720],[714,720],[715,720],[716,720],[717,719],[717,720],[718,719],[719,719],[720,719],[721,719],[722,719],[723,719],[724,719],[725,719],[726,719],[727,718],[727,719],[728,718],[729,718],[730,718],[731,718],[732,718],[733,718],[734,718],[735,718],[736,717],[736,718],[737,717],[738,717],[739,717],[740,717],[741,717],[742,717],[743,717],[744,717],[745,717],[746,716],[746,717],[747,716],[748,716],[749,716],[750,716],[751,716],[752,716],[753,716],[754,716],[755,715],[755,716],[756,715],[757,715],[758,715],[759,715],[760,715],[761,715],[762,715],[763,715],[764,715],[765,714],[765,715],[766,714],[767,714],[768,714],[769,714],[770,714],[771,714],[772,714],[773,714],[774,713],[774,714],[775,713],[776,713],[777,713],[778,713]]"
S005,5280.5933691157215,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181,"[[669,707]]","[[607,704],[608,704],[609,704],[610,704],[611,704],[612,704],[613,704],[614,704],[615,704],[616,704],[617,704],[618,704],[618,705],[619,705],[620,705],[621,705],[622,705],[623,705],[624,705],[625,705],[626,705],[627,705],[628,705],[629,705],[630,705],[631,705],[632,705],[633,705],[634,705],[635,705],[636,705],[637,705],[637,706],[638,706],[639,706],[640,706],[641,706],[642,706],[643,706],[644,706],[645,706],[646,706],[647,706],[648,706],[649,706],[650,706],[651,706],[652,706],[653,706],[654,706],[655,706],[656,706],[656,707],[657,707],[658,707],[659,707],[660,707],[661,707],[662,707],[663,707],[664,707],[665,707],[666,707],[667,707],[668,707],[669,707],[670,707],[671,707],[672,707],[673,707],[674,707],[674,708],[675,708],[676,708],[677,708],[678,708],[679,708],[680,708],[681,708],[682,708],[683,708],[684,708],[685,708],[686,708],[687,708],[688,708],[689,708],[690,708],[691,708],[692,708],[693,708],[693,709],[694,709],[695,709],[696,709],[697,709],[698,709],[699,709],[700,709],[701,709],[702,709],[703,709],[704,709],[705,709],[706,709],[707,709],[708,709],[709,709],[710,709],[711,709],[712,709],[712,710],[713,710],[714,710],[715,710],[716,710],[717,710],[718,710],[719,710],[720,710],[721,710],[722,710],[723,710],[724,710],[725,710],[726,710],[727,710],[728,710],[729,710],[730,710],[730,711],[731,711],[732,711],[733,711],[734,711],[735,711],[736,711],[737,711],[738,711],[739,711],[740,711],[741,711],[742,711],[743,711],[744,711],[745,711],[746,711],[747,711],[748,711],[749,711],[749,712],[750,712],[751,712],[752,712],[753,712],[754,712],[755,712],[756,712],[757,712],[758,712],[759,712],[760,712],[761,712],[762,712],[763,712],[764,712],[765,712],[766,712],[767,712],[768,712],[768,713],[769,713],[770,713],[771,713],[772,713],[773,713],[774,713],[775,713],[776,713],[777,713],[778,713]]"
S006,3186.19885235084,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,116,"[[781,614]]","[[778,708],[778,709],[778,710],[778,711],[778,712],[778,713],[779,669],[779,670],[779,671],[779,672],[779,673],[779,674],[779,675],[779,676],[779,677],[779,678],[779,679],[779,680],[779,681],[779,682],[779,683],[779,684],[779,685],[779,686],[779,687],[779,688],[779,689],[779,690],[779,691],[779,692],[779,693],[779,694],[779,695],[779,696],[779,697],[779,698],[779,699],[779,700],[779,701],[779,702],[779,703],[779,704],[779,705],[779,706],[779,707],[779,708],[780,630],[780,631],[780,632],[780,633],[780,634],[780,635],[780,636],[780,637],[780,638],[780,639],[780,640],[780,641],[780,642],[780,643],[780,644],[780,645],[780,646],[780,647],[780,648],[780,649],[780,650],[780,651],[780,652],[780,653],[780,654],[780,655],[780,656],[780,657],[780,658],[780,659],[780,660],[780,661],[780,662],[780,663],[780,664],[780,665],[780,666],[780,667],[780,668],[780,669],[781,601],[781,602],[781,603],[781,604],[781,605],[781,606],[781,607],[781,608],[781,609],[781,610],[781,611],[781,612],[781,613],[781,614],[781,615],[781,616],[781,617],[781,618],[781,619],[781,620],[781,621],[781,622],[781,623],[781,624],[781,625],[781,626],[781,627],[781,628],[781,629],[781,630]]"
S007,4534.717374921003,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,213,"[[724,613]]","[[703,576],[703,577],[704,577],[704,578],[704,579],[705,579],[705,580],[705,581],[706,581],[706,582],[707,582],[707,583],[707,584],[708,584],[708,585],[708,586],[709,586],[709,587],[709,588],[710,588],[710,589],[710,590],[711,590],[711,591],[712,591],[712,592],[712,593],[713,593],[713,594],[713,595],[714,595],[714,596],[714,597],[715,597],[715,598],[715,599],[716,599],[716,600],[716,601],[717,601],[717,602],[718,602],[718,603],[718,604],[719,604],[719,605],[719,606],[720,606],[720,607],[720,608],[721,608],[721,609],[721,610],[722,610],[722,611],[723,611],[723,612],[723,613],[724,613],[724,614],[724,615],[725,615],[725,616],[725,617],[726,617],[726,618],[726,619],[727,619],[727,620],[727,621],[728,621],[728,622],[729,622],[729,623],[729,624],[730,624],[730,625],[730,626],[731,626],[731,627],[731,628],[732,628],[732,629],[732,630],[733,630],[733,631],[734,631],[734,632],[734,633],[735,633],[735,634],[735,635],[736,635],[736,636],[736,637],[737,637],[737,638],[737,639],[738,639],[738,640],[738,641],[739,641],[739,642],[740,642],[740,643],[740,644],[741,644],[741,645],[741,646],[742,646],[742,647],[742,648],[743,648],[743,649],[743,650],[744,650],[744,651],[745,651],[745,652],[745,653],[746,653],[746,654],[746,655],[747,655],[747,656],[747,657],[748,657],[748,658],[748,659],[749,659],[749,660],[749,661],[750,661],[750,662],[751,662],[751,663],[751,664],[752,664],[752,665],[752,666],[753,666],[753,667],[753,668],[754,668],[754,669],[754,670],[755,670],[755,671],[756,671],[756,672],[756,673],[757,673],[757,674],[757,675],[758,675],[758,676],[758,677],[759,677],[759,678],[759,679],[760,679],[760,680],[760,681],[761,681],[761,682],[762,682],[762,683],[762,684],[763,684],[763,685],[763,686],[764,686],[764,687],[764,688],[765,688],[765,689],[765,690],[766,690],[766,691],[767,691],[767,692],[767,693],[768,693],[768,694],[768,695],[769,695],[769,696],[769,697],[770,697],[770,698],[770,699],[771,699],[771,700],[771,701],[772,701],[772,702],[773,702],[773,703],[773,704],[774,704],[774,705],[774,706],[775,706],[775,707],[775,708],[776,708],[776,709],[776,710],[777,710],[777,711],[778,711],[778,712],[778,713]]"
S008,8079.110448788476,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539062,321,"[[533,651]]","[[523,648],[524,648],[525,648],[525,649],[526,649],[527,649],[528,649],[529,649],[529,650],[530,650],[531,650],[532,650],[533,650],[533,651],[534,651],[535,651],[536,651],[537,651],[537,652],[538,652],[539,652],[540,652],[541,652],[541,653],[542,653],[543,653],[544,653],[545,653],[545,654],[546,654],[547,654],[548,654],[549,654],[549,655],[550,655],[551,655],[552,655],[553,655],[553,656],[554,656],[555,656],[556,656],[557,656],[557,657],[558,657],[559,657],[560,657],[560,658],[561,658],[562,658],[563,658],[564,658],[564,659],[565,659],[566,659],[567,659],[568,659],[568,660],[569,660],[570,660],[571,660],[572,660],[572,661],[573,661],[574,661],[575,661],[576,661],[576,662],[577,662],[578,662],[579,662],[580,662],[580,663],[581,663],[582,663],[583,663],[584,663],[584,664],[585,664],[586,664],[587,664],[588,664],[588,665],[589,665],[590,665],[591,665],[592,665],[592,666],[593,666],[594,666],[595,666],[596,666],[596,667],[597,667],[598,667],[599,667],[600,667],[600,668],[601,668],[602,668],[603,668],[604,668],[604,669],[605,669],[606,669],[607,669],[608,669],[608,670],[609,670],[610,670],[611,670],[611,671],[612,671],[613,671],[614,671],[615,671],[615,672],[616,672],[617,672],[618,672],[619,672],[619,673],[620,673],[621,673],[622,673],[623,673],[623,674],[624,674],[625,674],[626,674],[627,674],[627,675],[628,675],[629,675],[630,675],[631,675],[631,676],[632,676],[633,676],[634,676],[635,676],[635,677],[636,677],[637,677],[638,677],[639,677],[639,678],[640,678],[641,678],[642,678],[643,678],[643,679],[644,679],[645,679],[646,679],[647,679],[647,680],[648,680],[649,680],[650,680],[651,680],[651,681],[652,681],[653,681],[654,681],[655,681],[655,682],[656,682],[657,682],[658,682],[658,683],[659,683],[660,683],[661,683],[662,683],[662,684],[663,684],[664,684],[665,684],[666,684],[666,685],[667,685],[668,685],[669,685],[670,685],[670,686],[671,686],[672,686],[673,686],[674,686],[674,687],[675,687],[676,687],[677,687],[678,687],[678,688],[679,688],[680,688],[681,688],[682,688],[682,689],[683,689],[684,689],[685,689],[686,689],[686,690],[687,690],[688,690],[689,690],[690,690],[690,691],[691,691],[692,691],[693,691],[694,691],[694,692],[695,692],[696,692],[697,692],[698,692],[698,693],[699,693],[700,693],[701,693],[702,693],[702,694],[703,694],[704,694],[705,694],[706,694],[706,695],[707,695],[708,695],[709,695],[709,696],[710,696],[711,696],[712,696],[713,696],[713,697],[714,697],[715,697],[716,697],[717,697],[717,698],[718,698],[719,698],[720,698],[721,698],[721,699],[722,699],[723,699],[724,699],[725,699],[725,700],[726,700],[727,700],[728,700],[729,700],[729,701],[730,701],[731,701],[732,701],[733,701],[733,702],[734,702],[735,702],[736,702],[737,702],[737,703],[738,703],[739,703],[740,703],[741,703],[741,704],[742,704],[743,704],[744,704],[745,704],[745,705],[746,705],[747,705],[748,705],[749,705],[749,706],[750,706],[751,706],[752,706],[753,706],[753,707],[754,707],[755,707],[756,707],[757,707],[757,708],[758,708],[759,708],[760,708],[760,709],[761,709],[762,709],[763,709],[764,709],[764,710],[765,710],[766,710],[767,710],[768,710],[768,711],[769,711],[770,711],[771,711],[772,711],[772,712],[773,712],[774,712],[775,712],[776,712],[776,713],[777,713],[778,713]]"
S009,5705.303446619009,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,253,"[[633,785]]","[[610,797],[611,796],[611,797],[612,796],[613,795],[613,796],[614,795],[615,794],[615,795],[616,794],[617,793],[617,794],[618,793],[619,792],[619,793],[620,792],[621,791],[621,792],[622,791],[623,790],[623,791],[624,790],[625,789],[625,790],[626,789],[627,788],[627,789],[628,788],[629,787],[629,788],[630,787],[631,786],[631,787],[632,786],[633,785],[633,786],[634,785],[635,784],[635,785],[636,784],[637,783],[637,784],[638,783],[639,782],[639,783],[640,782],[641,781],[641,782],[642,781],[643,780],[643,781],[644,780],[645,779],[645,780],[646,779],[647,778],[647,779],[648,778],[649,777],[649,778],[650,777],[651,776],[651,777],[652,776],[653,775],[653,776],[654,775],[655,774],[655,775],[656,774],[657,773],[657,774],[658,773],[659,772],[659,773],[660,772],[661,771],[661,772],[662,771],[663,770],[663,771],[664,770],[665,769],[665,770],[666,769],[667,768],[667,769],[668,768],[669,767],[669,768],[670,767],[671,766],[671,767],[672,766],[673,765],[673,766],[674,765],[675,764],[675,765],[676,764],[677,763],[677,764],[678,763],[679,762],[679,763],[680,762],[681,761],[681,762],[682,761],[683,760],[683,761],[684,760],[685,759],[685,760],[686,759],[687,758],[687,759],[688,758],[689,757],[689,758],[690,757],[691,756],[691,757],[692,756],[693,755],[693,756],[694,755],[695,754],[695,755],[696,754],[697,753],[697,754],[698,753],[699,752],[699,753],[700,752],[701,751],[701,752],[702,751],[703,750],[703,751],[704,750],[705,749],[705,750],[706,749],[707,748],[707,749],[708,748],[709,747],[709,748],[710,747],[711,746],[711,747],[712,746],[713,745],[713,746],[714,745],[715,744],[715,745],[716,744],[717,743],[717,744],[718,743],[719,742],[719,743],[720,742],[721,741],[721,742],[722,741],[723,740],[723,741],[724,740],[725,739],[725,740],[726,739],[727,738],[727,739],[728,738],[729,737],[729,738],[730,737],[731,736],[731,737],[732,736],[733,735],[733,736],[734,735],[735,734],[735,735],[736,734],[737,733],[737,734],[738,733],[739,732],[739,733],[740,732],[741,731],[741,732],[742,731],[743,730],[743,731],[744,730],[745,729],[745,730],[746,729],[747,728],[747,729],[748,728],[749,727],[749,728],[750,727],[751,726],[751,727],[752,726],[753,725],[753,726],[754,725],[755,724],[755,725],[756,724],[757,723],[757,724],[758,723],[759,722],[759,723],[760,722],[761,721],[761,722],[762,721],[763,720],[763,721],[764,720],[765,719],[765,720],[766,719],[767,718],[767,719],[768,718],[769,717],[769,718],[770,717],[771,716],[771,717],[772,716],[773,715],[773,716],[774,715],[775,714],[775,715],[776,714],[777,713],[777,714],[778,713]]"
S010,4784.6745062617865,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,203,"[[745,850]]","[[739,874],[739,875],[739,876],[740,870],[740,871],[740,872],[740,873],[740,874],[741,866],[741,867],[741,868],[741,869],[741,870],[742,862],[742,863],[742,864],[742,865],[742,866],[743,858],[743,859],[743,860],[743,861],[743,862],[744,854],[744,855],[744,856],[744,857],[744,858],[745,849],[745,850],[745,851],[745,852],[745,853],[745,854],[746,845],[746,846],[746,847],[746,848],[746,849],[747,841],[747,842],[747,843],[747,844],[747,845],[748,837],[748,838],[748,839],[748,840],[748,841],[749,833],[749,834],[749,835],[749,836],[749,837],[750,829],[750,830],[750,831],[750,832],[750,833],[751,824],[751,825],[751,826],[751,827],[751,828],[751,829],[752,820],[752,821],[752,822],[752,823],[752,824],[753,816],[753,817],[753,818],[753,819],[753,820],[754,812],[754,813],[754,814],[754,815],[754,816],[755,808],[755,809],[755,810],[755,811],[755,812],[756,804],[756,805],[756,806],[756,807],[756,808],[757,800],[757,801],[757,802],[757,803],[757,804],[758,795],[758,796],[758,797],[758,798],[758,799],[758,800],[759,791],[759,792],[759,793],[759,794],[759,795],[760,787],[760,788],[760,789],[760,790],[760,791],[761,783],[761,784],[761,785],[761,786],[761,787],[762,779],[762,780],[762,781],[762,782],[762,783],[763,775],[763,776],[763,777],[763,778],[763,779],[764,771],[764,772],[764,773],[764,774],[764,775],[765,766],[765,767],[765,768],[765,769],[765,770],[765,771],[766,762],[766,763],[766,764],[766,765],[766,766],[767,758],[767,759],[767,760],[767,761],[767,762],[768,754],[768,755],[768,756],[768,757],[768,758],[769,750],[769,751],[769,752],[769,753],[769,754],[770,746],[770,747],[770,748],[770,749],[770,750],[771,742],[771,743],[771,744],[771,745],[771,746],[772,737],[772,738],[772,739],[772,740],[772,741],[772,742],[773,733],[773,734],[773,735],[773,736],[773,737],[774,729],[774,730],[774,731],[774,732],[774,733],[775,725],[775,726],[775,727],[775,728],[775,729],[776,721],[776,722],[776,723],[776,724],[776,725],[777,717],[777,718],[777,719],[777,720],[777,721],[778,713],[778,714],[778,715],[778,716],[778,717]]"
