service_id,demand,box_count,mass_kg,volume_m3,flight_count,energy_kwh,work_time_s,flight_time_s,model_counts,minimum_soc_percent,state_count,feasible_candidate_count,simple_flight_lower_bound,safe_payloads
S001,"[2,8,3,2]",15,154.0,0.394,2,5.913363900491497,3186.350091724046,1236.3500917240458,"{""C"":2}",62.552802438691636,324,201,2,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
S002,"[1,4,2,1]",8,81.0,0.211,2,8.434829145187932,3858.566247332312,2418.566247332312,"{""B"":1,""C"":1}",28.48304745067569,60,76,2,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":68.85810375213623,""limiting_factor"":""energy_reserve""}}"
S003,"[1,4,2,1]",8,81.0,0.211,2,8.545442729216445,4450.787376137323,3010.7873761373226,"{""B"":1,""C"":1}",27.93294131270203,60,76,2,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":68.1995415687561,""limiting_factor"":""energy_reserve""}}"
S004,"[1,3,1,1]",6,59.0,0.156,1,6.152860129174582,2301.054718772446,1425.0547187724458,"{""C"":1}",23.089248385317727,32,51,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":63.69825065135956,""limiting_factor"":""energy_reserve""}}"
S005,"[1,3,1,1]",6,59.0,0.156,1,4.222137373445114,1877.1887154914712,1001.1887154914712,"{""C"":1}",47.223282831936075,32,51,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
S006,"[1,3,1,1]",6,59.0,0.156,1,2.5979362904386822,1561.5526244866223,685.5526244866224,"{""C"":1}",67.52579636951648,32,51,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
S007,"[1,2,1,1]",5,45.0,0.129,1,3.4110038084433194,1907.600698410691,1097.600698410691,"{""C"":1}",57.36245239445851,24,43,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
S008,"[1,2,1,1]",5,45.0,0.129,1,5.836020667966359,2199.7115246008334,1389.7115246008332,"{""C"":1}",27.04974165042051,24,43,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":28.80136013031006,""limiting_factor"":""energy_reserve""},""C"":{""safe_payload_kg"":58.904165625572205,""limiting_factor"":""energy_reserve""}}"
S009,"[1,1,1,0]",3,25.0,0.067,1,2.0962654017373348,1558.4628643343576,928.4628643343575,"{""B"":1}",47.59336495656663,8,20,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
S010,"[1,1,1,0]",3,25.0,0.067,1,1.8232165642314142,1555.4035197802173,925.4035197802174,"{""B"":1}",54.41958589421465,8,20,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
S011,"[1,1,1,0]",3,25.0,0.067,1,1.0739366863951034,1188.4247628605203,558.4247628605204,"{""B"":1}",73.15158284012242,8,20,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
S012,"[1,1,1,0]",3,25.0,0.067,1,2.7525999542899324,1922.826814149187,1292.826814149187,"{""B"":1}",31.185001142751688,8,20,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":68.1097400188446,""limiting_factor"":""energy_reserve""}}"
S013,"[1,1,1,0]",3,25.0,0.067,1,1.8248281910807471,1510.511588744525,880.511588744525,"{""B"":1}",54.37929522298133,8,20,1,"{""A"":{""safe_payload_kg"":25,""limiting_factor"":""rated_payload""},""B"":{""safe_payload_kg"":30,""limiting_factor"":""rated_payload""},""C"":{""safe_payload_kg"":80,""limiting_factor"":""rated_payload""}}"
