service_id,type,mass_kg,volume_m3,maximum_reserve_percent,best_models,model_limits
S001,MED,3.0,0.012,76.55325760608973,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":74.04913349998978,""energy_kwh"":1.1677889925004594},{""model"":""B"",""critical_reserve_percent"":76.55325760608973,""energy_kwh"":0.9378696957564107},{""model"":""C"",""critical_reserve_percent"":75.66586036384851,""energy_kwh"":1.94673117089212}]"
S001,WAT,14.0,0.027,75.15432013811163,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":72.8995832960215,""energy_kwh"":1.219518751679032},{""model"":""B"",""critical_reserve_percent"":74.82584292814694,""energy_kwh"":1.0069662828741222},{""model"":""C"",""critical_reserve_percent"":75.15432013811163,""energy_kwh"":1.9876543889510694}]"
S001,FOD,8.0,0.028,75.95028360063958,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":73.63155928030099,""energy_kwh"":1.1865798323864554},{""model"":""B"",""critical_reserve_percent"":75.95028360063958,""energy_kwh"":0.9619886559744169},{""model"":""C"",""critical_reserve_percent"":75.47412380989331,""energy_kwh"":1.962070095208535}]"
S001,HYG,6.0,0.035,76.22709589921645,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":73.82070417291642,""energy_kwh"":1.1780683122187614},{""model"":""B"",""critical_reserve_percent"":76.22709589921645,""energy_kwh"":0.9509161640313423},{""model"":""C"",""critical_reserve_percent"":75.55998435048359,""energy_kwh"":1.9552012519613124}]"
S002,MED,3.0,0.012,44.98104157361995,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":38.820261992422104,""energy_kwh"":2.7530882103410055},{""model"":""B"",""critical_reserve_percent"":44.98104157361995,""energy_kwh"":2.200758337055202},{""model"":""C"",""critical_reserve_percent"":41.955682779920146,""energy_kwh"":4.643545377606388}]"
S002,WAT,14.0,0.027,40.9673695592627,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":36.18913097502903,""energy_kwh"":2.871489106123694},{""model"":""B"",""critical_reserve_percent"":40.9673695592627,""energy_kwh"":2.361305217629492},{""model"":""C"",""critical_reserve_percent"":40.803489304498,""energy_kwh"":4.73572085564016}]"
S002,FOD,8.0,0.028,43.598845064046046,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":37.878983619024595,""energy_kwh"":2.795445737143893},{""model"":""B"",""critical_reserve_percent"":43.598845064046046,""energy_kwh"":2.2560461974381583},{""model"":""C"",""critical_reserve_percent"":41.53092796798512,""energy_kwh"":4.67752576256119}]"
S002,HYG,6.0,0.035,44.23817316952534,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":38.30916435958718,""energy_kwh"":2.776087603818577},{""model"":""B"",""critical_reserve_percent"":44.23817316952534,""energy_kwh"":2.2304730732189864},{""model"":""C"",""critical_reserve_percent"":41.7230738330155,""energy_kwh"":4.66215409335876}]"
S003,MED,3.0,0.012,43.59413149640741,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":37.66723624068283,""energy_kwh"":2.8049743691692726},{""model"":""B"",""critical_reserve_percent"":43.59413149640741,""energy_kwh"":2.2562347401437037},{""model"":""C"",""critical_reserve_percent"":41.77990425163715,""energy_kwh"":4.657607659869028}]"
S003,WAT,14.0,0.027,40.51725605815887,"[""C""]","[{""model"":""A"",""critical_reserve_percent"":34.851355831272656,""energy_kwh"":2.9316889875927306},{""model"":""B"",""critical_reserve_percent"":39.39361493893313,""energy_kwh"":2.424255402442675},{""model"":""C"",""critical_reserve_percent"":40.51725605815887,""energy_kwh"":4.7586195153472906}]"
S003,FOD,8.0,0.028,42.11819290549433,"[""B""]","[{""model"":""A"",""critical_reserve_percent"":36.63690506640981,""energy_kwh"":2.8513392720115585},{""model"":""B"",""critical_reserve_percent"":42.11819290549433,""energy_kwh"":2.3152722837802266},{""model"":""C"",""critical_reserve_percent"":41.3029703547078,""energy_kwh"":4.695762371623376}]"
