service_id,type,box_count,mass_kg,volume_litre
S001,MED,2,6,24
S001,WAT,8,112,216
S001,FOD,3,24,84
S001,HYG,2,12,70
S002,MED,1,3,12
S002,WAT,4,56,108
S002,FOD,2,16,56
S002,HYG,1,6,35
S003,MED,1,3,12
S003,WAT,4,56,108
S003,FOD,2,16,56
S003,HYG,1,6,35
S004,MED,1,3,12
S004,WAT,3,42,81
S004,FOD,1,8,28
S004,HYG,1,6,35
S005,MED,1,3,12
S005,WAT,3,42,81
S005,FOD,1,8,28
S005,HYG,1,6,35
S006,MED,1,3,12
S006,WAT,3,42,81
S006,FOD,1,8,28
S006,HYG,1,6,35
S007,MED,1,3,12
S007,WAT,2,28,54
S007,FOD,1,8,28
S007,HYG,1,6,35
S008,MED,1,3,12
S008,WAT,2,28,54
S008,FOD,1,8,28
S008,HYG,1,6,35
S009,MED,1,3,12
S009,WAT,1,14,27
S009,FOD,1,8,28
S009,HYG,0,0,0
S010,MED,1,3,12
S010,WAT,1,14,27
S010,FOD,1,8,28
S010,HYG,0,0,0
S011,MED,1,3,12
S011,WAT,1,14,27
S011,FOD,1,8,28
S011,HYG,0,0,0
S012,MED,1,3,12
S012,WAT,1,14,27
S012,FOD,1,8,28
S012,HYG,0,0,0
S013,MED,1,3,12
S013,WAT,1,14,27
S013,FOD,1,8,28
S013,HYG,0,0,0
S014,MED,1,3,12
S014,WAT,1,14,27
S014,FOD,1,8,28
S014,HYG,0,0,0
S015,MED,1,3,12
S015,WAT,1,14,27
S015,FOD,1,8,28
S015,HYG,0,0,0
