batch_id,service_id,model,type,count,mass_kg
Q1-001,S001,C,MED,0,0
Q1-001,S001,C,WAT,3,42
Q1-001,S001,C,FOD,3,24
Q1-001,S001,C,HYG,2,12
Q1-002,S001,C,MED,2,6
Q1-002,S001,C,WAT,5,70
Q1-002,S001,C,FOD,0,0
Q1-002,S001,C,HYG,0,0
Q1-003,S002,B,MED,1,3
Q1-003,S002,B,WAT,1,14
Q1-003,S002,B,FOD,1,8
Q1-003,S002,B,HYG,0,0
Q1-004,S002,C,MED,0,0
Q1-004,S002,C,WAT,3,42
Q1-004,S002,C,FOD,1,8
Q1-004,S002,C,HYG,1,6
Q1-005,S003,B,MED,1,3
Q1-005,S003,B,WAT,1,14
Q1-005,S003,B,FOD,1,8
Q1-005,S003,B,HYG,0,0
Q1-006,S003,C,MED,0,0
Q1-006,S003,C,WAT,3,42
Q1-006,S003,C,FOD,1,8
Q1-006,S003,C,HYG,1,6
Q1-007,S004,C,MED,1,3
Q1-007,S004,C,WAT,3,42
Q1-007,S004,C,FOD,1,8
Q1-007,S004,C,HYG,1,6
Q1-008,S005,C,MED,1,3
Q1-008,S005,C,WAT,3,42
Q1-008,S005,C,FOD,1,8
Q1-008,S005,C,HYG,1,6
Q1-009,S006,C,MED,1,3
Q1-009,S006,C,WAT,3,42
Q1-009,S006,C,FOD,1,8
Q1-009,S006,C,HYG,1,6
Q1-010,S007,C,MED,1,3
Q1-010,S007,C,WAT,2,28
Q1-010,S007,C,FOD,1,8
Q1-010,S007,C,HYG,1,6
Q1-011,S008,C,MED,1,3
Q1-011,S008,C,WAT,2,28
Q1-011,S008,C,FOD,1,8
Q1-011,S008,C,HYG,1,6
Q1-012,S009,B,MED,1,3
Q1-012,S009,B,WAT,1,14
Q1-012,S009,B,FOD,1,8
Q1-012,S009,B,HYG,0,0
Q1-013,S010,B,MED,1,3
Q1-013,S010,B,WAT,1,14
Q1-013,S010,B,FOD,1,8
Q1-013,S010,B,HYG,0,0
Q1-014,S011,B,MED,1,3
Q1-014,S011,B,WAT,1,14
Q1-014,S011,B,FOD,1,8
Q1-014,S011,B,HYG,0,0
Q1-015,S012,B,MED,1,3
Q1-015,S012,B,WAT,1,14
Q1-015,S012,B,FOD,1,8
Q1-015,S012,B,HYG,0,0
Q1-016,S013,B,MED,1,3
Q1-016,S013,B,WAT,1,14
Q1-016,S013,B,FOD,1,8
Q1-016,S013,B,HYG,0,0
Q1-017,S014,B,MED,1,3
Q1-017,S014,B,WAT,1,14
Q1-017,S014,B,FOD,1,8
Q1-017,S014,B,HYG,0,0
Q1-018,S015,B,MED,1,3
Q1-018,S015,B,WAT,1,14
Q1-018,S015,B,FOD,1,8
Q1-018,S015,B,HYG,0,0
