service_id,model,safe_payload_kg,limiting_factor
S001,A,25,rated_payload
S001,B,30,rated_payload
S001,C,80,rated_payload
S002,A,25,rated_payload
S002,B,30,rated_payload
S002,C,68.85810375213623,energy_reserve
S003,A,25,rated_payload
S003,B,30,rated_payload
S003,C,68.1995415687561,energy_reserve
S004,A,25,rated_payload
S004,B,30,rated_payload
S004,C,63.69825065135956,energy_reserve
S005,A,25,rated_payload
S005,B,30,rated_payload
S005,C,80,rated_payload
S006,A,25,rated_payload
S006,B,30,rated_payload
S006,C,80,rated_payload
S007,A,25,rated_payload
S007,B,30,rated_payload
S007,C,80,rated_payload
S008,A,25,rated_payload
S008,B,28.80136013031006,energy_reserve
S008,C,58.904165625572205,energy_reserve
S009,A,25,rated_payload
S009,B,30,rated_payload
S009,C,80,rated_payload
S010,A,25,rated_payload
S010,B,30,rated_payload
S010,C,80,rated_payload
S011,A,25,rated_payload
S011,B,30,rated_payload
S011,C,80,rated_payload
S012,A,25,rated_payload
S012,B,30,rated_payload
S012,C,68.1097400188446,energy_reserve
S013,A,25,rated_payload
S013,B,30,rated_payload
S013,C,80,rated_payload
S014,A,25,rated_payload
S014,B,30,rated_payload
S014,C,80,rated_payload
S015,A,25,rated_payload
S015,B,30,rated_payload
S015,C,80,rated_payload
