plan_id,lower_percent,upper_percent,lower_inclusive,upper_inclusive,flight_count,energy_kwh,work_time_s
R001,0.0,23.089248385317727,True,True,18,59.13226032599277,32776.5167822769
R002,23.089248385317727,27.04974165042051,False,True,19,61.07431115757807,34566.15844562943
R003,27.04974165042051,27.93294131270203,False,True,20,63.291051673035774,36336.00019280513
R004,27.93294131270203,28.48304745067569,False,True,20,65.24374637868848,36493.568238866326
R005,28.48304745067569,31.019547278321667,False,True,20,67.2287315236232,36586.686323583126
R006,31.019547278321667,31.185001142751688,False,True,20,67.23874008286306,36586.686323583126
R007,31.185001142751688,31.707188360601833,False,True,20,69.40851960863192,36704.53665520747
R008,31.707188360601833,32.04250135030689,False,True,20,69.424945962401,36704.53665520747
R009,32.04250135030689,32.481159227475295,False,True,20,71.76060278959002,36819.94971062739
R010,32.481159227475295,33.625670586616486,False,True,20,74.29464357072257,36919.819488052526
R011,33.625670586616486,33.83397543431236,False,True,21,74.06352420478905,38595.7914578031
R012,33.83397543431236,33.892330509767845,False,True,21,74.06757009931174,38595.7914578031
R013,33.892330509767845,34.23082016410171,False,True,22,76.15534610424601,40490.40112284116
R014,34.23082016410171,34.37428683208703,False,True,22,76.17564414674078,40490.40112284116
R015,34.37428683208703,34.390361769385734,False,True,23,76.003313418332,42164.62973077376
R016,34.390361769385734,34.77774518918476,False,True,24,75.8637037342195,43702.23572736472
R017,34.77774518918476,35.11850882805334,False,True,25,75.60892914897875,45384.20769711529
R018,35.11850882805334,35.266593693194835,False,True,25,78.03068486372133,45505.620752535215
R019,35.266593693194835,35.26764734919061,False,True,25,83.20918878330642,45693.360307385476
