service_id,model,reserve_percent,safe_payload_kg,limiting_factor
S001,A,0,25,rated_payload
S001,A,1,25,rated_payload
S001,A,2,25,rated_payload
S001,A,3,25,rated_payload
S001,A,4,25,rated_payload
S001,A,5,25,rated_payload
S001,A,6,25,rated_payload
S001,A,7,25,rated_payload
S001,A,8,25,rated_payload
S001,A,9,25,rated_payload
S001,A,10,25,rated_payload
S001,A,11,25,rated_payload
S001,A,12,25,rated_payload
S001,A,13,25,rated_payload
S001,A,14,25,rated_payload
S001,A,15,25,rated_payload
S001,A,16,25,rated_payload
S001,A,17,25,rated_payload
S001,A,18,25,rated_payload
S001,A,19,25,rated_payload
S001,A,20,25,rated_payload
S001,A,21,25,rated_payload
S001,A,22,25,rated_payload
S001,A,23,25,rated_payload
S001,A,24,25,rated_payload
S001,A,25,25,rated_payload
S001,A,26,25,rated_payload
S001,A,27,25,rated_payload
S001,A,28,25,rated_payload
S001,A,29,25,rated_payload
S001,A,30,25,rated_payload
S001,A,31,25,rated_payload
S001,A,32,25,rated_payload
S001,A,33,25,rated_payload
S001,A,34,25,rated_payload
S001,A,35,25,rated_payload
S001,A,36,25,rated_payload
S001,A,37,25,rated_payload
S001,A,38,25,rated_payload
S001,A,39,25,rated_payload
S001,A,40,25,rated_payload
S001,A,41,25,rated_payload
S001,A,42,25,rated_payload
S001,A,43,25,rated_payload
S001,A,44,25,rated_payload
S001,A,45,25,rated_payload
S001,A,46,25,rated_payload
S001,A,47,25,rated_payload
S001,A,48,25,rated_payload
S001,A,49,25,rated_payload
S001,A,50,25,rated_payload
S001,A,51,25,rated_payload
S001,A,52,25,rated_payload
S001,A,53,25,rated_payload
S001,A,54,25,rated_payload
S001,A,55,25,rated_payload
S001,A,56,25,rated_payload
S001,A,57,25,rated_payload
S001,A,58,25,rated_payload
S001,A,59,25,rated_payload
S001,A,60,25,rated_payload
S001,B,0,30,rated_payload
S001,B,1,30,rated_payload
S001,B,2,30,rated_payload
S001,B,3,30,rated_payload
S001,B,4,30,rated_payload
S001,B,5,30,rated_payload
S001,B,6,30,rated_payload
S001,B,7,30,rated_payload
S001,B,8,30,rated_payload
S001,B,9,30,rated_payload
S001,B,10,30,rated_payload
S001,B,11,30,rated_payload
S001,B,12,30,rated_payload
S001,B,13,30,rated_payload
S001,B,14,30,rated_payload
S001,B,15,30,rated_payload
S001,B,16,30,rated_payload
S001,B,17,30,rated_payload
S001,B,18,30,rated_payload
S001,B,19,30,rated_payload
S001,B,20,30,rated_payload
S001,B,21,30,rated_payload
S001,B,22,30,rated_payload
S001,B,23,30,rated_payload
S001,B,24,30,rated_payload
S001,B,25,30,rated_payload
S001,B,26,30,rated_payload
S001,B,27,30,rated_payload
S001,B,28,30,rated_payload
S001,B,29,30,rated_payload
S001,B,30,30,rated_payload
S001,B,31,30,rated_payload
S001,B,32,30,rated_payload
S001,B,33,30,rated_payload
S001,B,34,30,rated_payload
S001,B,35,30,rated_payload
S001,B,36,30,rated_payload
S001,B,37,30,rated_payload
S001,B,38,30,rated_payload
S001,B,39,30,rated_payload
S001,B,40,30,rated_payload
S001,B,41,30,rated_payload
S001,B,42,30,rated_payload
S001,B,43,30,rated_payload
S001,B,44,30,rated_payload
S001,B,45,30,rated_payload
S001,B,46,30,rated_payload
S001,B,47,30,rated_payload
S001,B,48,30,rated_payload
S001,B,49,30,rated_payload
