partition_id,policy,identity,K,workload_cv,relay_sorties_executed,total_energy_kwh,partition,total_U_A,total_U_B,total_U_C,total_B_A,total_B_B,total_B_C,total_R,total_RE,gap_U_A,gap_U_B,gap_U_C,gap_B_A,gap_B_B,gap_B_C,gap_R,gap_RE
strict-2-0001-minimum,strict,minimum,2,0.8306194263315657,3,66.44527328256848,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S015 / S010,S014",4,4,2,6,6,4,3,3,0,2,0,0,2,0,1,0
strict-2-0002-minimum,strict,minimum,2,0.673048079271094,3,66.44527328256848,"S001,S010,S014 / S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S015",4,4,4,6,6,6,3,3,0,2,2,0,2,2,1,0
strict-2-0003-minimum,strict,minimum,2,0.8424286529395283,3,66.44527328256848,"S001 / S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015",4,2,4,6,4,6,2,3,0,0,2,0,0,2,0,0
strict-2-0001-preserve_ids,strict,preserve_ids,2,0.8306194263315657,3,66.44527328256848,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S015 / S010,S014",4,4,2,6,6,4,3,3,0,2,0,0,2,0,1,0
strict-2-0002-preserve_ids,strict,preserve_ids,2,0.673048079271094,3,66.44527328256848,"S001,S010,S014 / S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S015",4,4,4,6,6,6,3,3,0,2,2,0,2,2,1,0
strict-2-0003-preserve_ids,strict,preserve_ids,2,0.8424286529395283,3,66.44527328256848,"S001 / S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S014,S015",4,2,4,6,4,6,2,3,0,0,2,0,0,2,0,0
strict-3-0001-minimum,strict,minimum,3,1.0674531782600805,3,66.44527328256848,"S001 / S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S015 / S010,S014",4,4,4,6,6,6,3,3,0,2,2,0,2,2,1,0
strict-3-0001-preserve_ids,strict,preserve_ids,3,1.0674531782600805,3,66.44527328256848,"S001 / S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S015 / S010,S014",4,4,4,6,6,6,3,3,0,2,2,0,2,2,1,0
clone-2-0001-minimum,clone,minimum,2,0.9075372499350448,4,66.87208491682246,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S012,S013,S015 / S014",4,3,2,6,5,4,3,4,0,1,0,0,1,0,1,0
clone-2-0002-minimum,clone,minimum,2,0.904912389426657,4,67.16062500108146,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S013,S014,S015 / S012",4,3,2,6,4,4,3,4,0,1,0,0,0,0,1,0
clone-2-0003-minimum,clone,minimum,2,0.8124496393617018,5,67.58743663533545,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011,S013,S015 / S012,S014",4,3,2,6,5,4,4,5,0,1,0,0,1,0,2,0
clone-2-0004-minimum,clone,minimum,2,0.9230821763965209,4,66.87208491682246,"S001,S002,S003,S004,S005,S006,S007,S008,S009,S011,S012,S013,S014,S015 / S010",4,3,2,6,5,4,3,4,0,1,0,0,1,0,1,0
