policy_K,selection,partition_id,groups,gap_total,gap_aircraft,gap_energy,total_aircraft,total_energy_resources,workload_cv,mean_resource_utilization,minimum_resource_utilization,relay_sorties_executed,total_energy_kwh
strict_2,current,strict-2-0003-minimum,"[['S001'], ['S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S010', 'S011', 'S012', 'S013', 'S014', 'S015']]",4,2,2,12,19,0.8424286529395283,0.8346570407637917,0.4940959811239142,3,66.44527328256848
strict_2,balance,strict-2-0002-minimum,"[['S001', 'S010', 'S014'], ['S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S011', 'S012', 'S013', 'S015']]",9,5,4,15,21,0.673048079271094,0.8421129904339285,0.5735789149836935,3,66.44527328256848
strict_2,utilization,strict-2-0001-minimum,"[['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S011', 'S012', 'S013', 'S015'], ['S010', 'S014']]",5,3,2,13,19,0.8306194263315657,0.8488942288816639,0.5735789149836935,3,66.44527328256848
strict_3,current,strict-3-0001-minimum,"[['S001'], ['S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S011', 'S012', 'S013', 'S015'], ['S010', 'S014']]",9,5,4,15,21,1.0674531782600805,0.8811324000079952,0.5735789149836935,3,66.44527328256848
strict_3,balance,strict-3-0001-minimum,"[['S001'], ['S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S011', 'S012', 'S013', 'S015'], ['S010', 'S014']]",9,5,4,15,21,1.0674531782600805,0.8811324000079952,0.5735789149836935,3,66.44527328256848
strict_3,utilization,strict-3-0001-minimum,"[['S001'], ['S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S011', 'S012', 'S013', 'S015'], ['S010', 'S014']]",9,5,4,15,21,1.0674531782600805,0.8811324000079952,0.5735789149836935,3,66.44527328256848
clone_2,current,clone-2-0016-minimum,"[['S001', 'S002', 'S003', 'S005', 'S006', 'S007', 'S008', 'S009', 'S010', 'S011', 'S012', 'S013', 'S014', 'S015'], ['S004']]",2,2,0,12,18,0.886208274044556,0.854321819602788,0.4940959811239142,4,67.16062500108146
clone_2,balance,clone-2-0048-minimum,"[['S001', 'S002', 'S008', 'S009', 'S010', 'S012', 'S013', 'S014'], ['S003', 'S004', 'S005', 'S006', 'S007', 'S011', 'S015']]",8,6,2,16,21,0.01615105911754167,0.6885513025335992,0.4940959811239142,5,68.36776585048835
clone_2,utilization,clone-2-0002-minimum,"[['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S010', 'S011', 'S013', 'S014', 'S015'], ['S012']]",2,2,0,12,18,0.904912389426657,0.8581199009853624,0.4940959811239142,4,67.16062500108146
clone_3,current,clone-3-0015-minimum,"[['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S009', 'S011', 'S013', 'S015'], ['S008', 'S010', 'S014'], ['S012']]",4,4,0,14,19,0.9451201192750016,0.8269171463501701,0.5117868670401441,5,68.36776585048835
clone_3,balance,clone-3-0301-minimum,"[['S001', 'S002', 'S009', 'S013'], ['S003', 'S005', 'S006', 'S007', 'S011', 'S015'], ['S004', 'S008', 'S010', 'S012', 'S014']]",10,8,2,18,22,0.21579419181676499,0.7683156423519639,0.4940959811239142,6,69.57490669989525
clone_3,utilization,clone-3-0002-minimum,"[['S001', 'S002', 'S003', 'S004', 'S005', 'S006', 'S007', 'S008', 'S009', 'S011', 'S012', 'S013', 'S015'], ['S010'], ['S014']]",6,4,2,14,20,1.2345950335433824,0.9117018370423305,0.5735789149836935,4,66.87208491682246
