K,group,resource_type,local_resource,task,start_s,end_s,q3_original_id,supply
2,G1,U_C,U08,T005,0.0,1494.176,U08,existing
2,G1,U_C,U07,T004,0.0,1692.176,U07,existing
2,G1,B_C,BAT-C-02,T005,0.0,3138.866,BAT-C-02,existing
2,G1,B_C,BAT-C-01,T004,0.0,3315.69,BAT-C-01,existing
2,G2,U_A,U01,T001,0.0,1313.477,U01,existing
2,G2,U_A,U01,T008,1641.16,4316.739,U01,existing
2,G2,U_A,U02,T009,1671.16,3283.324,U02,existing
2,G2,U_A,U03,T011,1844.884,3974.033,U03,existing
2,G2,U_A,U04,T013,2488.626,4216.094,U04,existing
2,G2,U_A,U02,T015,3283.324,5886.793,U02,existing
2,G2,U_A,U03,T018,3974.033,5942.687,U03,existing
2,G2,U_A,U01,T020,4368.478,6057.118,U01,existing
2,G2,U_B,U06,T003,0.0,1555.405,U06,existing
2,G2,U_B,U05,T002,0.0,1869.749,U05,existing
2,G2,U_B,U06,T007,1555.405,2762.676,U06,existing
2,G2,U_B,U05,T012,1869.749,3792.577,U05,existing
2,G2,U_B,U06,T014,3012.133,4913.976,U06,existing
2,G2,U_B,U05,T017,3792.577,5754.42,U05,existing
2,G2,U_B,U06,T021,4913.976,6559.627,U06,existing
2,G2,U_C,ADD-U_C-02,T006,1494.177,3668.021,U08,additional_required
2,G2,U_C,ADD-U_C-01,T010,1692.176,3993.232,U07,additional_required
2,G2,U_C,ADD-U_C-02,T016,3668.021,6361.703,U08,additional_required
2,G2,U_C,ADD-U_C-01,T019,3993.232,6298.4,U07,additional_required
2,G2,B_A,BAT-A-01,T001,0.0,2205.503,BAT-A-01,existing
2,G2,B_A,BAT-A-02,T008,1641.16,5806.699,BAT-A-02,existing
2,G2,B_A,BAT-A-03,T009,1671.16,4368.476,BAT-A-03,existing
2,G2,B_A,BAT-A-04,T011,1844.884,5112.21,BAT-A-04,existing
2,G2,B_A,BAT-A-01,T013,2488.626,5285.484,BAT-A-01,existing
2,G2,B_A,BAT-A-05,T015,3283.324,7339.392,BAT-A-05,existing
2,G2,B_A,BAT-A-06,T018,3974.033,7181.603,BAT-A-06,existing
2,G2,B_A,BAT-A-03,T020,4368.478,7230.621,BAT-A-03,existing
2,G2,B_B,BAT-B-02,T003,0.0,3012.133,BAT-B-02,existing
2,G2,B_B,BAT-B-01,T002,0.0,3463.876,BAT-B-01,existing
2,G2,B_B,BAT-B-03,T007,1555.405,3989.868,BAT-B-03,existing
2,G2,B_B,BAT-B-04,T012,1869.749,5652.037,BAT-B-04,existing
2,G2,B_B,BAT-B-02,T014,3012.133,6778.13,BAT-B-02,existing
2,G2,B_B,BAT-B-01,T017,3792.577,7710.343,BAT-B-01,existing
2,G2,B_B,BAT-B-03,T021,4913.976,7920.519,BAT-B-03,existing
2,G2,B_C,ADD-B_C-01,T006,1494.177,6202.451,BAT-C-03,additional_required
2,G2,B_C,ADD-B_C-02,T010,1692.176,6492.965,BAT-C-04,additional_required
2,G2,B_C,BAT-C-03,T016,3668.021,8926.383,BAT-C-01,existing
2,G2,B_C,BAT-C-04,T019,3993.232,8439.815,BAT-C-02,existing
2,G2,R,R01,R001,194.652,2146.524,R01,existing
2,G2,R,R02,R002,1571.428,4478.986,R02,existing
